end_station,station_name,go_live_date,region,status,end_count,end_lat,end_lon,monday_count,tuesday_count,wednesday_count,thursday_count,friday_count,saturday_count,sunday_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,end_count_q2_2019,end_count_q1_2019,end_count_q4_2018,end_count_q3_2018,end_count_q2_2018,end_count_q1_2018,end_count_q4_2017,end_count_q3_2017,end_count_q2_2017,end_count_q1_2017,end_count_q3_2016,start_count_q4_2016
3000,Virtual Station,7/7/2016,N/A,Active,1324,0,0,216,197,163,173,164,170,241,14,15,182,375,353,179,148,58,886,961,1070,1838,1156,1059,1440,740,757,564,486,#N/A
3005,7th & Flower,7/7/2016,DTLA,Active,4649,34.0485,-118.258537,762,762,743,714,721,491,456,84,38,605,581,902,953,1010,476,2948,3105,3761,4068,3181,2341,2946,3053,2806,1632,2226,2404
3006,Olive & 8th,7/7/2016,DTLA,Active,2312,34.04554,-118.256668,353,332,314,290,339,351,333,54,12,64,258,533,464,627,300,1373,1552,1587,1649,1319,1057,1129,1182,1037,587,861,1378
3007,5th & Grand,7/7/2016,DTLA,Active,1434,34.05048,-118.254593,232,277,227,249,207,146,96,4,46,220,299,324,253,191,97,914,790,1154,1291,968,771,808,1024,889,535,612,846
3008,Figueroa & 9th,7/7/2016,DTLA,Active,1033,34.046612,-118.262733,142,178,153,148,150,115,147,17,15,145,136,183,178,250,109,692,893,1364,1603,1098,787,918,997,919,553,736,953
3010,11th & Maple,7/10/2016,DTLA,Active,203,34.037048,-118.254868,31,31,27,27,28,28,31,1,1,28,43,53,49,20,8,200,221,278,325,188,143,118,187,245,74,141,197
3011,Figueroa & Pico,7/12/2016,DTLA,Active,764,34.04113,-118.267982,124,104,109,94,104,99,130,12,12,68,122,151,164,154,81,484,618,777,902,768,629,743,756,696,425,550,516
3013,Anaheim & Avalon,7/31/2017,Port of LA,Inactive,34,33.779819,-118.263023,5,2,4,9,2,3,9,1,1,1,1,8,5,14,3,57,14,19,26,24,22,15,85,#N/A,#N/A,#N/A,#N/A
3014,Union Station West Portal,7/7/2016,DTLA,Active,3496,34.05661,-118.237213,590,684,698,676,562,137,149,24,41,206,158,409,2244,344,70,2892,2563,2972,2698,2349,1827,1848,2051,2175,1284,1700,2401
3016,Los Angeles & Temple,7/7/2016,DTLA,Active,1061,34.052898,-118.241562,179,210,210,201,192,31,38,4,74,397,145,181,155,97,8,804,619,569,540,491,280,266,435,471,314,650,942
3018,Grand & Olympic,7/7/2016,DTLA,Active,1053,34.043732,-118.260139,163,154,188,139,162,101,146,33,8,54,130,153,196,320,159,927,1001,1168,863,615,602,528,922,654,413,386,603
3019,12th & Hill,7/7/2016,DTLA,Active,1126,34.038609,-118.260857,215,203,186,217,164,69,72,18,4,322,151,243,160,179,49,832,722,1120,1209,822,580,611,675,845,535,657,983
3020,Hill & Washington,7/7/2016,DTLA,Active,207,34.031052,-118.26709,43,47,30,29,28,19,11,1,1,79,17,35,35,26,13,138,136,226,157,186,163,116,185,171,120,243,241
3022,3rd & Santa Fe,7/7/2016,DTLA,Active,945,34.04607,-118.233093,171,138,131,148,134,124,99,12,11,145,118,192,189,182,96,892,953,1343,1457,1207,1235,1348,1423,1338,1193,1421,1723
3023,1st & Judge John Aiso,7/7/2016,DTLA,Active,798,34.050911,-118.240967,116,123,104,160,132,76,87,8,9,126,105,127,185,177,61,755,751,863,1025,941,619,643,549,842,681,811,1003
3024,Hope & 1st,7/13/2016,DTLA,Active,318,34.05772,-118.24897,63,57,57,47,47,18,29,8,4,108,51,56,44,34,13,142,66,143,156,124,86,172,205,167,89,153,518
3025,Grand & Washington,7/7/2016,DTLA,Active,192,34.03286,-118.268082,25,25,24,36,35,28,19,8,3,15,31,39,40,29,27,149,153,243,173,191,155,215,258,247,195,256,262
3026,Figueroa & Cesar Chavez,7/7/2016,DTLA,Active,731,34.063179,-118.24588,113,129,117,119,97,77,79,38,9,31,28,108,170,206,141,550,384,548,533,418,347,422,473,478,277,433,502
3027,Spring & 3rd,7/7/2016,DTLA,Active,1103,34.04998,-118.247162,191,185,176,185,195,86,85,31,31,297,131,242,116,178,77,1005,741,803,783,748,646,645,682,675,465,631,765
3028,Grand & Temple,7/7/2016,DTLA,Active,259,34.058319,-118.246094,27,34,35,46,37,51,29,11,9,21,24,41,55,74,24,202,76,210,272,188,165,169,180,249,109,141,271
3029,Main & 4th,7/7/2016,DTLA,Active,837,34.048851,-118.246422,135,127,136,133,134,102,70,13,2,72,102,125,208,206,109,722,708,709,854,663,583,590,478,517,409,426,564
3030,Main & 1st,7/7/2016,DTLA,Active,3469,34.051941,-118.24353,622,728,728,671,559,94,67,43,55,1807,483,558,347,135,41,2882,2250,2770,2755,1936,1227,1351,1483,1444,942,1383,1899
3031,7th & Spring,7/7/2016,DTLA,Active,2645,34.044701,-118.252441,414,431,391,392,425,278,314,157,26,139,271,494,655,571,332,1984,2450,2599,2271,2127,1739,1856,2188,1952,1335,1874,2307
3032,Hope & 6th,7/7/2016,DTLA,Active,1406,34.049889,-118.255882,242,253,251,239,212,128,81,8,4,227,327,368,285,148,39,1097,965,1203,1265,947,912,971,1300,1093,707,902,1169
3033,Main & 9th,7/7/2016,DTLA,Active,783,34.040989,-118.255798,133,135,99,140,114,85,77,68,2,64,98,104,124,203,120,449,501,545,469,371,277,302,328,304,198,261,319
3034,Hope & 11th,7/7/2016,DTLA,Active,1078,34.042061,-118.263382,186,183,177,163,174,92,103,9,0,53,150,209,241,350,66,936,1058,1238,1152,1010,1053,1094,1230,1124,658,947,1427
3035,Figueroa & 8th,7/7/2016,DTLA,Active,1928,34.048401,-118.260948,320,288,305,281,286,240,208,26,15,149,386,360,305,456,231,1454,1322,1570,875,1477,1072,1433,1602,1531,852,1161,1500
3036,Willow St & Mateo St,7/7/2016,DTLA,Active,407,34.039188,-118.232529,52,72,72,55,63,39,54,2,31,108,43,93,46,60,24,410,430,645,679,632,428,456,474,526,343,401,680
3037,Imperial & 7th,7/7/2016,DTLA,Active,508,34.034801,-118.231277,77,70,73,66,91,70,61,25,2,48,120,116,95,68,34,422,352,392,479,418,350,315,448,574,371,466,590
3038,Main & 5th,7/7/2016,DTLA,Active,1386,34.046822,-118.248352,187,190,199,192,196,208,214,85,17,94,120,236,222,346,266,1113,1104,1512,1472,1152,1039,1101,1287,1318,722,1077,1395
3040,Wilshire & Witmer,7/7/2016,DTLA,Active,550,34.05357,-118.266357,88,94,68,60,83,76,81,42,9,16,55,89,123,129,87,296,250,349,487,284,236,331,232,277,139,197,401
3042,1st & Central,7/7/2016,DTLA,Active,1878,34.049301,-118.238808,300,341,297,300,312,153,175,51,8,108,122,230,910,307,142,1826,1602,2203,2145,1846,1485,1614,1779,2075,1421,1598,2274
3045,18th & San Pedro,7/7/2016,DTLA,Active,158,34.028511,-118.256668,25,25,20,27,19,22,20,13,1,45,14,23,30,18,14,129,102,171,219,184,133,135,193,150,102,76,141
3046,2nd & Hill,7/12/2016,DTLA,Active,507,34.052872,-118.24749,79,67,74,85,96,59,47,12,1,70,57,81,100,126,60,385,345,435,606,506,588,644,388,436,315,354,463
3047,Pico & Flower,7/7/2016,DTLA,Active,873,34.039982,-118.266403,135,132,119,135,112,100,140,50,14,76,100,127,148,237,121,624,838,1296,1260,944,852,705,897,868,547,650,797
3048,5th & Hewitt,7/13/2016,DTLA,Active,675,34.041691,-118.235352,117,100,105,99,83,80,91,20,7,92,144,120,117,103,72,622,788,992,1234,998,974,1143,1152,1306,854,1050,1252
3049,2nd & Figueroa,7/7/2016,DTLA,Active,1121,34.056969,-118.253593,162,192,176,155,183,121,132,72,5,121,109,188,168,307,151,807,713,1128,962,808,735,1076,938,795,677,693,1119
3051,7th & Broadway,7/7/2016,DTLA,Active,839,34.045422,-118.253517,141,104,112,134,130,120,98,31,5,43,102,158,185,232,83,740,829,920,845,808,624,745,809,758,465,744,730
3052,7th & Bixel,7/7/2016,DTLA,Active,666,34.051102,-118.264557,92,95,117,84,90,105,83,27,4,35,83,112,103,191,111,423,483,680,653,458,407,461,561,551,358,472,667
3054,Factory Place & Alameda,7/7/2016,DTLA,Active,281,34.039219,-118.236488,42,60,42,49,41,18,29,5,2,26,73,51,66,49,9,332,362,457,504,480,559,426,510,537,269,207,364
3056,Grand & 14th,7/7/2016,DTLA,Active,286,34.03746,-118.265381,47,54,43,45,35,30,32,7,9,72,47,51,33,45,22,254,198,432,502,405,335,232,425,421,359,571,551
3057,18th & Figueroa,7/7/2016,DTLA,Active,322,34.035679,-118.270813,50,40,66,36,51,40,39,23,2,9,44,61,70,56,57,160,149,295,191,204,181,281,251,265,97,131,171
3058,Industrial St & Mateo St,7/7/2016,DTLA,Active,309,34.035801,-118.23317,48,44,43,47,46,37,44,8,3,44,35,50,61,75,33,289,421,556,722,449,490,445,547,575,472,636,836
3062,3rd & San Pedro,7/7/2016,DTLA,Active,788,34.047749,-118.243172,118,107,119,126,114,100,104,22,16,74,132,222,117,143,62,653,501,796,921,675,687,840,876,958,649,748,807
3063,Olive & 5th,7/7/2016,DTLA,Active,1294,34.048038,-118.253738,227,228,204,210,206,78,141,17,13,125,147,226,272,409,85,955,904,1222,1138,1427,1357,1407,733,1756,1183,1177,1403
3064,Grand & 7th,7/11/2016,DTLA,Active,1701,34.04681,-118.256981,283,241,236,254,260,221,206,24,9,155,314,361,279,406,153,1352,1428,1670,2129,1789,1575,1760,2174,1831,1120,1628,1857
3065,New High & Ord,7/7/2016,DTLA,Active,494,34.060558,-118.238327,73,78,81,82,84,53,43,7,3,33,66,92,143,127,23,327,271,367,405,390,328,301,303,348,222,313,481
3066,Spring & College,7/7/2016,DTLA,Active,763,34.063389,-118.23616,91,91,131,103,126,109,112,24,9,81,78,101,211,200,59,681,523,667,730,584,572,695,762,903,312,359,532
3067,Main & 6th,7/7/2016,DTLA,Active,1355,34.045181,-118.250237,196,199,186,208,217,174,175,64,6,51,178,223,312,340,181,1073,1047,1586,1659,1284,927,1087,1383,1189,784,1104,1593
3068,Grand & 3rd,7/7/2016,DTLA,Active,558,34.0532,-118.250954,73,78,75,98,89,75,70,8,7,47,135,122,98,100,41,402,309,422,590,355,294,362,394,450,199,339,445
3069,Broadway & 3rd,7/7/2016,DTLA,Active,1179,34.05088,-118.248253,160,207,165,157,201,160,129,31,7,153,239,255,208,188,98,1156,1273,1783,2046,1628,1393,1606,1868,1901,1428,1609,2035
3074,Hope & Olympic,7/7/2016,DTLA,Active,1565,34.04417,-118.261169,253,248,223,250,215,175,201,41,4,94,145,306,319,446,210,971,967,1365,1017,686,620,826,1044,919,538,753,1070
3075,Broadway & 9th,7/7/2016,DTLA,Active,1004,34.04211,-118.256187,157,149,143,157,160,121,117,36,5,34,124,236,206,257,106,862,1032,1330,1503,1076,832,953,1130,1072,553,736,987
3076,9th & Los Angeles,7/7/2016,DTLA,Active,855,34.0406,-118.253838,139,146,107,127,153,97,86,35,7,107,124,222,147,152,61,647,733,824,781,808,717,705,761,763,453,648,859
3077,8th & Wall,7/7/2016,DTLA,Active,377,34.039871,-118.250038,63,56,77,55,60,38,28,15,4,32,57,97,66,74,32,315,433,430,499,401,297,277,308,288,212,307,292
3078,Hill & College,7/7/2016,DTLA,Active,437,34.064281,-118.238937,52,60,52,62,69,81,61,22,4,55,27,55,107,84,83,315,282,335,354,337,289,390,304,339,303,228,352
3079,Temple & Vignes,7/7/2016,DTLA,Active,143,34.05014,-118.233192,22,19,26,23,18,22,13,2,4,35,17,19,52,12,2,#N/A,#N/A,#N/A,4,179,171,237,182,274,202,190,325
3081,Stanford & 12th,7/13/2016,DTLA,Active,204,34.031891,-118.250183,28,35,40,30,37,20,14,6,2,78,39,31,23,14,11,194,152,252,284,319,280,211,171,177,201,249,194
3082,Traction & Rose,8/29/2016,DTLA,Active,1371,34.04652,-118.237411,185,217,203,177,212,200,177,43,11,85,161,238,315,369,149,1459,1520,2050,2663,2002,1777,2017,2172,2407,1683,2060,960
4125,Banning's Landing,7/31/2017,Port of LA,Inactive,9,33.766659,-118.261017,3,1,,1,1,,3,0,0,0,2,2,4,1,0,21,4,8,16,8,15,23,30,#N/A,#N/A,#N/A,#N/A
4126,Cabrillo Beach,7/31/2017,Port of LA,Inactive,752,33.710979,-118.284668,100,91,71,132,62,129,167,9,6,18,83,199,210,203,24,551,91,205,814,396,316,350,359,#N/A,#N/A,#N/A,#N/A
4127,Catalina Express,7/31/2017,Port of LA,Inactive,41,33.74892,-118.275192,8,6,7,7,4,4,5,0,0,6,2,5,9,17,2,31,19,16,80,31,37,45,86,#N/A,#N/A,#N/A,#N/A
4129,Crafted 22nd St Park,7/31/2017,Port of LA,Inactive,422,33.725819,-118.28051,46,49,45,59,51,84,88,2,1,39,58,60,96,151,15,167,73,87,246,189,93,189,234,#N/A,#N/A,#N/A,#N/A
4130,DoubleTree Hotel,7/31/2017,Port of LA,Inactive,223,33.719261,-118.282722,23,20,25,32,33,30,60,0,2,12,46,40,45,76,2,182,114,129,302,179,114,191,255,#N/A,#N/A,#N/A,#N/A
4131,Downtown Harbor,7/31/2017,Port of LA,Inactive,279,33.738979,-118.279266,37,24,16,32,50,59,61,5,5,12,33,39,66,88,31,287,138,186,459,269,166,279,502,#N/A,#N/A,#N/A,#N/A
4132,Fanfare Fountain,7/31/2017,Port of LA,Inactive,238,33.74913,-118.280182,36,13,18,22,33,45,71,7,2,0,9,16,22,111,71,192,112,143,348,192,118,200,296,#N/A,#N/A,#N/A,#N/A
4133,Ports O'Call,7/31/2017,Port of LA,Inactive,290,33.733521,-118.277786,57,15,29,33,55,40,61,2,3,9,44,63,80,65,24,357,169,147,363,200,158,133,230,#N/A,#N/A,#N/A,#N/A
4134,USS IOWA,7/31/2017,Port of LA,Inactive,57,33.74136,-118.278069,5,3,1,13,10,12,13,0,1,0,7,17,12,15,5,78,30,43,67,100,69,51,112,#N/A,#N/A,#N/A,#N/A
4135,Waterfront Park (East),7/31/2017,Port of LA,Inactive,134,33.772301,-118.268044,22,36,13,12,23,17,11,1,1,4,13,17,18,75,5,173,37,70,62,64,46,67,237,#N/A,#N/A,#N/A,#N/A
4136,Waterfront Park (West),7/31/2017,Port of LA,Inactive,69,33.771759,-118.276543,15,7,11,11,1,11,13,1,1,0,2,7,7,34,17,77,35,21,60,46,21,46,85,#N/A,#N/A,#N/A,#N/A
4220,Park & Echo Park,9/28/2017,DTLA,Active,941,34.074829,-118.258728,198,145,139,134,151,72,102,28,8,38,112,129,282,249,95,562,392,577,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4227,Grand / LATTC,12/15/2017,DTLA,Active,605,34.0298,-118.270309,92,105,103,98,88,51,68,44,5,138,145,61,75,76,61,196,178,247,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4245,University & Hoover,7/8/2018,DTLA,Active,313,34.02404,-118.283409,48,50,47,50,46,40,32,0,3,24,96,47,78,51,14,202,239,301,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4246,32nd & Figueroa,7/3/2018,DTLA,Active,359,34.023708,-118.279167,50,71,47,47,38,58,48,7,4,16,43,53,74,94,68,279,225,364,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4247,25th & Vermont,5/29/2019,DTLA,Active,232,34.033642,-118.291313,49,36,31,32,27,24,33,18,9,6,8,19,49,89,34,99,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4248,29th & Ellendale,7/2/2018,DTLA,Active,434,34.028351,-118.288673,64,55,61,72,67,55,60,19,3,25,44,58,103,135,47,246,207,261,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4249,Figueroa & McCarthy Way,6/29/2018,DTLA,Active,790,34.020302,-118.281181,130,135,117,119,110,87,92,14,7,47,161,147,170,152,92,382,306,583,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4250,Severance & Adams,7/9/2018,DTLA,Active,371,34.03017,-118.280952,62,60,65,50,45,50,39,15,1,29,43,59,86,86,52,196,175,231,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4254,Hoover & 29th,6/28/2018,DTLA,Active,228,34.028679,-118.284111,29,31,33,21,30,42,42,11,4,10,15,38,68,53,29,122,121,141,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4266,28th & Figueroa,11/29/2018,DTLA,Active,939,34.026291,-118.277687,136,121,114,130,125,155,158,54,12,18,74,148,174,253,206,341,319,80,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4267,28th & University,8/23/2018,DTLA,Active,88,34.027618,-118.280678,14,9,6,10,13,20,16,6,0,3,8,25,18,16,12,90,59,138,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4273,Hoover & 32nd,10/8/2018,DTLA,Active,632,34.02586,-118.284103,85,93,83,76,93,99,103,4,3,34,86,108,140,157,100,306,325,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4275,Expo Park/LAFC,12/18/2018,DTLA,Active,266,34.01252,-118.285896,30,18,26,31,36,59,66,42,4,8,26,37,60,59,30,158,78,22,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4285,Metro Bike Share Free Bikes,2/27/2019,Free Bikes,Active,1856,0,0,257,243,224,216,341,289,286,45,9,77,296,458,440,404,127,1116,372,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4286,Metro Bike Share Out of Service Area Smart Bike,2/27/2019,Free Bikes,Active,892,0,0,64,157,89,124,147,166,145,10,5,10,133,224,277,196,37,567,98,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4293,Westlake & 3rd,1/25/2019,DTLA,Active,213,34.062279,-118.271523,29,33,29,35,25,31,31,8,5,12,17,32,41,58,40,59,32,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4300,Union & Olympic,1/24/2019,DTLA,Active,301,34.04887,-118.2743,52,57,47,37,33,40,35,15,6,10,33,46,83,70,38,219,86,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4301,Maubert & Vermont,6/18/2019,DTLA,Active,200,34.099049,-118.291496,25,29,21,23,24,28,50,7,1,25,23,44,48,35,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4302,Vermont Pl & Vermont,6/19/2019,DTLA,Active,172,34.092491,-118.291443,35,17,17,18,11,34,40,7,3,5,36,33,38,30,20,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4303,Sunset & Virgil,6/18/2019,DTLA,Active,133,34.098011,-118.287071,14,17,21,15,14,16,36,6,0,6,18,27,35,29,12,11,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4304,Shatto Pl & Wilshire,1/28/2019,DTLA,Active,544,34.06258,-118.290092,72,74,73,82,100,52,91,16,5,45,53,99,104,108,114,228,58,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4306,8th & Vermont,1/29/2019,DTLA,Active,214,34.057652,-118.292183,34,28,24,36,23,32,37,17,2,5,10,31,49,62,38,209,72,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
