end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
3000,0,0,Friday,164,3,3,22,35,44,31,17,9
3005,34.0485,-118.258537,Friday,721,12,5,93,101,144,126,138,102
3006,34.04554,-118.256668,Friday,339,1,4,10,42,77,72,92,41
3007,34.05048,-118.254593,Friday,207,1,9,32,45,39,41,26,14
3008,34.046612,-118.262733,Friday,150,1,4,21,18,28,28,33,17
3010,34.037048,-118.254868,Friday,28,0,0,5,8,4,5,3,3
3011,34.04113,-118.267982,Friday,104,0,0,7,15,18,21,24,19
3013,33.779819,-118.263023,Friday,2,1,0,1,0,0,0,0,0
3014,34.05661,-118.237213,Friday,562,1,4,28,33,89,325,66,16
3016,34.052898,-118.241562,Friday,192,0,15,68,23,37,28,20,1
3018,34.043732,-118.260139,Friday,162,2,1,12,24,13,27,50,33
3019,34.038609,-118.260857,Friday,164,6,0,61,26,39,11,16,5
3020,34.031052,-118.26709,Friday,28,0,1,11,2,4,4,4,2
3022,34.04607,-118.233093,Friday,134,3,2,19,18,29,30,18,15
3023,34.050911,-118.240967,Friday,132,0,4,20,16,23,29,24,16
3024,34.05772,-118.24897,Friday,47,1,1,18,9,10,5,3,0
3025,34.03286,-118.268082,Friday,35,1,0,3,6,6,7,5,7
3026,34.063179,-118.24588,Friday,97,3,0,10,4,21,20,23,16
3027,34.04998,-118.247162,Friday,195,5,5,50,22,33,23,40,17
3028,34.058319,-118.246094,Friday,37,2,2,1,2,9,7,11,3
3029,34.048851,-118.246422,Friday,134,5,0,10,8,22,43,32,14
3030,34.051941,-118.24353,Friday,559,6,8,287,79,100,49,21,9
3031,34.044701,-118.252441,Friday,425,23,4,16,43,86,106,82,65
3032,34.049889,-118.255882,Friday,212,1,0,40,58,57,34,19,3
3033,34.040989,-118.255798,Friday,114,12,2,7,19,21,22,21,10
3034,34.042061,-118.263382,Friday,174,3,0,13,20,27,53,47,11
3035,34.048401,-118.260948,Friday,286,3,0,27,59,45,46,69,37
3036,34.039188,-118.232529,Friday,63,0,2,18,12,8,8,9,6
3037,34.034801,-118.231277,Friday,91,3,0,3,21,23,23,8,10
3038,34.046822,-118.248352,Friday,196,14,1,8,12,40,31,44,46
3040,34.05357,-118.266357,Friday,83,7,0,6,9,20,15,15,11
3042,34.049301,-118.238808,Friday,312,4,2,21,20,41,140,57,27
3045,34.028511,-118.256668,Friday,19,0,1,8,1,3,1,1,4
3046,34.052872,-118.24749,Friday,96,4,0,8,8,22,25,18,11
3047,34.039982,-118.266403,Friday,112,5,2,11,17,16,21,28,12
3048,34.041691,-118.235352,Friday,83,3,1,13,24,14,11,11,6
3049,34.056969,-118.253593,Friday,183,14,0,20,19,34,27,47,22
3051,34.045422,-118.253517,Friday,130,4,0,10,11,29,29,36,11
3052,34.051102,-118.264557,Friday,90,5,0,4,13,12,16,23,17
3054,34.039219,-118.236488,Friday,41,0,0,2,13,10,5,8,3
3056,34.03746,-118.265381,Friday,35,1,2,6,9,4,3,4,6
3057,34.035679,-118.270813,Friday,51,4,0,0,6,5,12,13,11
3058,34.035801,-118.23317,Friday,46,0,0,8,3,8,9,10,8
3062,34.047749,-118.243172,Friday,114,4,1,12,23,28,14,18,14
3063,34.048038,-118.253738,Friday,206,2,2,17,24,30,47,75,9
3064,34.04681,-118.256981,Friday,260,3,0,23,58,57,37,61,21
3065,34.060558,-118.238327,Friday,84,1,0,3,15,21,19,20,5
3066,34.063389,-118.23616,Friday,126,2,2,8,14,23,36,31,10
3067,34.045181,-118.250237,Friday,217,11,0,11,30,54,45,38,28
3068,34.0532,-118.250954,Friday,89,0,0,9,19,15,17,21,8
3069,34.05088,-118.248253,Friday,201,6,1,21,51,52,29,28,13
3074,34.04417,-118.261169,Friday,215,6,2,17,22,32,59,43,34
3075,34.04211,-118.256187,Friday,160,9,0,3,24,38,32,39,15
3076,34.0406,-118.253838,Friday,153,3,2,22,26,40,21,22,17
3077,34.039871,-118.250038,Friday,60,2,0,10,8,13,10,14,3
