end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
3000,0,0,Monday,216,2,6,30,75,47,23,26,7
3005,34.0485,-118.258537,Monday,762,8,6,112,85,160,163,168,60
3006,34.04554,-118.256668,Monday,353,2,0,5,30,71,70,107,68
3007,34.05048,-118.254593,Monday,232,1,8,41,54,48,34,29,17
3008,34.046612,-118.262733,Monday,142,2,0,31,17,26,26,30,10
3010,34.037048,-118.254868,Monday,31,0,1,3,6,12,6,2,1
3011,34.04113,-118.267982,Monday,124,6,1,16,23,24,25,22,7
3013,33.779819,-118.263023,Monday,5,0,0,0,0,1,0,3,1
3014,34.05661,-118.237213,Monday,590,2,8,37,15,50,435,39,4
3016,34.052898,-118.241562,Monday,179,1,3,74,23,26,31,19,2
3018,34.043732,-118.260139,Monday,163,2,1,14,17,27,20,59,23
3019,34.038609,-118.260857,Monday,215,2,2,61,28,54,22,36,10
3020,34.031052,-118.26709,Monday,43,1,0,23,4,6,2,4,3
3022,34.04607,-118.233093,Monday,171,3,2,31,19,29,28,34,25
3023,34.050911,-118.240967,Monday,116,2,3,19,20,25,20,24,3
3024,34.05772,-118.24897,Monday,63,2,1,14,10,11,8,11,6
3025,34.03286,-118.268082,Monday,25,1,1,3,4,7,2,5,2
3026,34.063179,-118.24588,Monday,113,4,0,2,2,15,29,34,27
3027,34.04998,-118.247162,Monday,191,3,6,55,27,47,14,27,12
3028,34.058319,-118.246094,Monday,27,0,1,2,1,3,3,12,5
3029,34.048851,-118.246422,Monday,135,0,0,14,12,19,36,37,17
3030,34.051941,-118.24353,Monday,622,4,9,338,92,91,58,26,4
3031,34.044701,-118.252441,Monday,414,14,4,28,43,70,116,96,43
3032,34.049889,-118.255882,Monday,242,2,1,42,47,76,45,20,9
3033,34.040989,-118.255798,Monday,133,8,0,17,12,12,14,44,26
3034,34.042061,-118.263382,Monday,186,0,0,12,22,34,46,64,8
3035,34.048401,-118.260948,Monday,320,2,3,24,68,64,51,77,31
3036,34.039188,-118.232529,Monday,52,0,10,14,7,8,5,5,3
3037,34.034801,-118.231277,Monday,77,0,0,9,24,14,13,10,7
3038,34.046822,-118.248352,Monday,187,16,2,11,19,22,32,51,34
3040,34.05357,-118.266357,Monday,88,4,2,3,9,11,24,29,6
3042,34.049301,-118.238808,Monday,300,1,1,25,12,28,165,49,19
3045,34.028511,-118.256668,Monday,25,2,0,9,3,3,4,2,2
3046,34.052872,-118.24749,Monday,79,2,0,16,9,12,9,27,4
3047,34.039982,-118.266403,Monday,135,7,1,15,13,15,29,38,17
3048,34.041691,-118.235352,Monday,117,0,0,20,25,21,23,23,5
3049,34.056969,-118.253593,Monday,162,10,0,27,14,17,19,45,30
3051,34.045422,-118.253517,Monday,141,3,0,7,21,29,36,37,8
3052,34.051102,-118.264557,Monday,92,0,0,3,14,15,16,36,8
