end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
3000,0,0,Saturday,170,3,2,16,61,34,24,24,6
3005,34.0485,-118.258537,Saturday,491,23,5,21,68,95,108,107,64
3006,34.04554,-118.256668,Saturday,351,11,1,8,41,73,60,100,57
3007,34.05048,-118.254593,Saturday,146,1,5,15,30,38,28,16,13
3008,34.046612,-118.262733,Saturday,115,2,4,5,10,29,18,27,20
3010,34.037048,-118.254868,Saturday,28,0,0,5,3,7,11,1,1
3011,34.04113,-118.267982,Saturday,99,0,7,7,18,17,16,14,20
3013,33.779819,-118.263023,Saturday,3,0,1,0,0,0,2,0,0
3014,34.05661,-118.237213,Saturday,137,4,7,5,15,34,30,29,13
3016,34.052898,-118.241562,Saturday,31,1,0,0,7,8,10,5,0
3018,34.043732,-118.260139,Saturday,101,6,2,0,12,12,23,25,21
3019,34.038609,-118.260857,Saturday,69,6,0,5,9,14,14,15,6
3020,34.031052,-118.26709,Saturday,19,0,0,1,3,6,6,2,1
3022,34.04607,-118.233093,Saturday,124,2,0,18,20,27,21,23,13
3023,34.050911,-118.240967,Saturday,76,1,0,1,4,17,30,11,12
3024,34.05772,-118.24897,Saturday,18,3,0,1,1,2,8,2,1
3025,34.03286,-118.268082,Saturday,28,0,2,1,6,4,8,4,3
3026,34.063179,-118.24588,Saturday,77,12,2,2,2,10,18,17,14
3027,34.04998,-118.247162,Saturday,86,8,0,3,11,18,14,18,14
3028,34.058319,-118.246094,Saturday,51,7,1,3,4,3,15,13,5
3029,34.048851,-118.246422,Saturday,102,5,0,3,23,18,21,18,14
3030,34.051941,-118.24353,Saturday,94,4,1,4,13,25,18,16,13
3031,34.044701,-118.252441,Saturday,278,24,3,9,30,58,52,52,50
3032,34.049889,-118.255882,Saturday,128,1,0,12,26,36,21,23,9
3033,34.040989,-118.255798,Saturday,85,7,0,5,14,14,17,13,15
3034,34.042061,-118.263382,Saturday,92,1,0,1,15,30,20,21,4
3035,34.048401,-118.260948,Saturday,240,10,5,5,39,59,39,45,38
3036,34.039188,-118.232529,Saturday,39,1,2,1,1,14,5,10,5
3037,34.034801,-118.231277,Saturday,70,9,2,2,4,14,19,15,5
3038,34.046822,-118.248352,Saturday,208,16,4,12,20,43,28,39,46
3040,34.05357,-118.266357,Saturday,76,8,3,0,12,16,13,13,11
3042,34.049301,-118.238808,Saturday,153,17,0,1,18,29,29,26,33
3045,34.028511,-118.256668,Saturday,22,5,0,0,2,3,4,7,1
3046,34.052872,-118.24749,Saturday,59,2,0,1,6,10,15,12,13
3047,34.039982,-118.266403,Saturday,100,15,3,7,10,22,13,18,12
3048,34.041691,-118.235352,Saturday,80,8,1,2,13,11,22,8,15
3049,34.056969,-118.253593,Saturday,121,14,1,0,11,25,23,31,16
3051,34.045422,-118.253517,Saturday,120,9,1,3,20,18,22,32,15
3052,34.051102,-118.264557,Saturday,105,3,2,2,16,20,13,27,22
3054,34.039219,-118.236488,Saturday,18,1,0,1,3,8,4,1,0
3056,34.03746,-118.265381,Saturday,30,3,2,4,7,5,2,3,4
3057,34.035679,-118.270813,Saturday,40,6,0,1,2,8,12,3,8
3058,34.035801,-118.23317,Saturday,37,5,0,2,4,5,11,7,3
3062,34.047749,-118.243172,Saturday,100,6,5,1,10,31,20,12,15
3063,34.048038,-118.253738,Saturday,78,2,3,5,6,8,14,24,16
3064,34.04681,-118.256981,Saturday,221,5,2,16,29,65,35,47,22
3065,34.060558,-118.238327,Saturday,53,2,1,1,7,15,11,14,2
3066,34.063389,-118.23616,Saturday,109,3,2,11,11,16,19,34,13
3067,34.045181,-118.250237,Saturday,174,22,1,1,29,30,34,31,26
3068,34.0532,-118.250954,Saturday,75,2,2,4,16,13,21,15,2
3069,34.05088,-118.248253,Saturday,160,6,1,10,11,42,34,30,26
3074,34.04417,-118.261169,Saturday,175,5,1,7,29,40,32,39,22
3075,34.04211,-118.256187,Saturday,121,10,3,1,19,30,19,20,19
3076,34.0406,-118.253838,Saturday,97,6,1,2,20,18,14,25,11
3077,34.039871,-118.250038,Saturday,38,3,0,1,8,10,8,3,5
3078,34.064281,-118.238937,Saturday,81,6,1,1,3,15,25,14,16
3079,34.05014,-118.233192,Saturday,22,1,1,4,1,3,9,3,0
3081,34.031891,-118.250183,Saturday,20,2,0,3,1,4,0,4,6
3082,34.04652,-118.237411,Saturday,200,8,0,6,35,39,39,38,35
4126,33.766659,-118.261017,Saturday,129,1,0,2,13,26,46,32,9
4127,33.710979,-118.284668,Saturday,4,0,0,0,0,0,0,3,1
4129,33.74892,-118.275192,Saturday,84,0,0,6,7,13,21,34,3
4130,33.725819,-118.28051,Saturday,30,0,0,1,5,6,7,9,2
4131,33.719261,-118.282722,Saturday,59,0,1,0,6,8,16,23,5
4132,33.738979,-118.279266,Saturday,45,0,0,0,2,2,4,9,28
4133,33.74913,-118.280182,Saturday,40,0,1,1,1,12,16,3,6
4134,33.733521,-118.277786,Saturday,12,0,1,0,0,7,2,2,0
4135,33.74136,-118.278069,Saturday,17,0,0,0,0,0,3,14,0
4136,33.772301,-118.268044,Saturday,11,0,0,0,0,0,1,7,3
4220,33.771759,-118.276543,Saturday,72,4,1,2,7,14,21,13,10
4227,34.074829,-118.258728,Saturday,51,13,1,1,6,9,6,7,8
4245,34.0298,-118.270309,Saturday,40,0,0,1,7,5,13,14,0
4246,34.02404,-118.283409,Saturday,58,0,1,1,6,8,14,17,11
4247,34.023708,-118.279167,Saturday,24,4,1,1,0,1,5,9,3
4248,34.033642,-118.291313,Saturday,55,4,1,5,4,12,8,12,9
4249,34.028351,-118.288673,Saturday,87,4,0,4,8,11,24,21,15
4250,34.020302,-118.281181,Saturday,50,3,0,7,4,5,7,6,18
4254,34.03017,-118.280952,Saturday,42,5,0,4,3,7,10,5,8
4266,34.028679,-118.284111,Saturday,155,19,2,1,9,23,23,38,40
4267,34.026291,-118.277687,Saturday,20,1,0,0,1,10,2,3,3
4273,34.027618,-118.280678,Saturday,99,1,0,4,10,18,24,22,20
4275,34.02586,-118.284103,Saturday,59,8,1,4,7,6,9,18,6
4285,34.01252,-118.285896,Saturday,289,7,1,3,45,67,84,66,16
4286,0,0,Saturday,166,2,0,2,15,47,53,33,14
4293,0,0,Saturday,31,0,0,0,2,5,10,3,11
4300,34.062279,-118.271523,Saturday,40,7,2,0,6,4,13,5,3
4301,34.04887,-118.2743,Saturday,28,1,0,0,1,10,7,6,3
4302,34.099049,-118.291496,Saturday,34,5,2,0,11,4,4,6,2
4303,34.092491,-118.291443,Saturday,16,0,0,0,0,4,5,5,2
4304,34.098011,-118.287071,Saturday,52,1,0,2,3,9,10,17,10
4306,34.06258,-118.290092,Saturday,32,3,0,0,1,5,9,6,8
4311,34.057652,-118.292183,Saturday,91,5,8,0,0,18,22,16,22
4312,34.059689,-118.294662,Saturday,36,5,1,3,6,2,7,4,8
4313,34.06699,-118.290878,Saturday,41,1,0,3,10,12,2,9,4
4314,34.056808,-118.275002,Saturday,65,2,0,1,13,13,9,15,12
4315,34.057709,-118.279762,Saturday,80,6,1,0,9,22,16,17,9
4322,34.054031,-118.27092,Saturday,10,0,0,0,1,4,1,4,0
4323,34.005871,-118.429161,Saturday,5,0,0,0,0,0,2,3,0
4324,33.99958,-118.44136,Saturday,10,0,0,0,1,3,2,2,2
4325,34.02655,-118.408463,Saturday,15,0,0,5,5,1,2,1,1
4328,34.022518,-118.400589,Saturday,10,4,0,0,0,0,3,1,2
4329,34.020061,-118.422684,Saturday,17,0,3,3,2,3,1,5,0
4330,34.029121,-118.403168,Saturday,16,0,0,0,2,7,6,1,0
4331,34.025688,-118.395302,Saturday,16,0,0,0,2,7,3,3,1
4332,34.00351,-118.43438,Saturday,9,0,0,0,1,4,2,1,1
4333,34.02948,-118.410469,Saturday,8,0,0,0,1,1,6,0,0
4334,33.997231,-118.445969,Saturday,17,0,0,2,7,4,2,2,0
4335,34.02018,-118.40403,Saturday,11,0,0,0,0,2,5,1,3
4336,34.023392,-118.399223,Saturday,11,0,0,1,3,3,1,3,0
4337,34.022449,-118.438332,Saturday,5,1,0,0,0,3,1,0,0
4338,33.993019,-118.414909,Saturday,7,0,0,0,0,1,5,0,1
4340,34.01376,-118.417801,Saturday,32,0,0,5,6,9,4,8,0
4341,34.02338,-118.479637,Saturday,13,0,0,0,1,1,7,4,0
4342,33.9953,-118.464844,Saturday,53,0,0,1,8,14,13,12,5
4343,33.991161,-118.468292,Saturday,12,0,0,0,4,3,4,1,0
4344,33.998322,-118.460983,Saturday,312,5,0,1,42,69,94,84,17
4345,34.014309,-118.491341,Saturday,573,6,0,10,72,158,169,132,26
4346,33.99556,-118.481552,Saturday,291,1,0,4,30,87,85,70,14
4347,33.984341,-118.47155,Saturday,109,4,0,1,16,26,34,25,3
4348,33.984928,-118.469963,Saturday,23,0,0,1,7,5,4,4,2
4349,34.000881,-118.46891,Saturday,48,0,0,1,9,12,13,12,1
4350,33.996239,-118.477448,Saturday,23,2,0,1,0,9,5,4,2
4351,33.9986,-118.472977,Saturday,21,0,0,0,8,4,1,4,4
4352,33.993729,-118.45356,Saturday,22,0,0,0,9,4,4,3,2
4353,33.988419,-118.45163,Saturday,60,0,0,2,5,19,18,13,3
4354,33.988129,-118.471741,Saturday,30,2,0,1,4,9,5,5,4
4372,34.017681,-118.409081,Saturday,21,0,0,2,10,1,5,2,1
4378,34.027882,-118.388901,Saturday,8,1,0,1,1,2,2,1,0
4379,34.022331,-118.415771,Saturday,4,0,0,0,0,0,1,3,0
4380,34.017368,-118.420601,Saturday,2,0,0,0,0,1,1,0,0
4381,33.982922,-118.410927,Saturday,8,0,0,1,1,2,1,3,0
4382,34.000332,-118.402321,Saturday,2,1,0,0,0,0,1,0,0
4383,34.030472,-118.420982,Saturday,6,0,0,0,3,2,0,0,1
4384,34.009022,-118.425011,Saturday,17,0,0,0,4,2,4,7,0
4385,33.990318,-118.412048,Saturday,2,0,0,0,0,0,0,2,0
4387,34.036678,-118.425339,Saturday,40,0,0,1,12,14,8,5,0
4389,34.03352,-118.241837,Saturday,17,0,0,0,2,5,4,2,4
4390,34.035351,-118.434143,Saturday,58,7,3,1,15,9,9,6,8
4393,34.069271,-118.296593,Saturday,9,0,0,0,6,1,1,1,0
4394,34.026829,-118.393517,Saturday,8,0,0,0,2,1,0,5,0
4396,33.980789,-118.414902,Saturday,9,0,2,0,1,1,2,2,1
4397,34.01157,-118.495422,Saturday,8,0,0,0,0,0,3,4,1
4400,34.02697,-118.428207,Saturday,21,5,2,1,1,2,4,4,2
4401,34.01688,-118.428452,Saturday,62,1,2,6,4,14,11,14,10
4404,34.027828,-118.247139,Saturday,26,4,0,3,2,7,0,6,4
4405,34.075611,-118.291862,Saturday,28,2,2,3,1,6,2,4,8
4406,34.101509,-118.33979,Saturday,31,0,0,5,5,6,5,10,0
4408,34.04813,-118.271027,Saturday,3,0,0,0,1,2,0,0,0
4409,34.051899,-118.293678,Saturday,20,0,0,1,2,6,2,8,1
4410,34.101891,-118.300613,Saturday,131,7,2,4,8,17,33,27,33
4413,34.101871,-118.29377,Saturday,8,0,0,0,1,0,1,6,0
4414,34.011799,-118.419533,Saturday,12,0,0,0,0,6,5,1,0
4415,33.986511,-118.441917,Saturday,18,2,0,1,4,3,3,3,2
4416,34.063351,-118.296799,Saturday,12,0,1,0,3,5,1,0,2
4417,34.158321,-118.370811,Saturday,15,1,0,1,4,2,4,1,2
4418,34.16835,-118.387497,Saturday,7,0,0,0,0,0,0,2,5
4419,34.168331,-118.396156,Saturday,10,0,0,0,4,1,1,2,2
4420,34.157581,-118.38826,Saturday,48,0,0,5,16,7,7,8,5
4422,34.164951,-118.363632,Saturday,6,1,0,1,0,4,0,0,0
4425,34.150688,-118.366127,Saturday,9,0,0,0,3,1,3,2,0
4426,34.165218,-118.355148,Saturday,8,0,0,2,0,2,0,2,2
4427,34.168629,-118.377068,Saturday,3,0,0,0,1,1,0,0,1
4428,34.152142,-118.361954,Saturday,9,0,0,1,1,3,1,2,1
4429,34.152,-118.350601,Saturday,16,0,0,0,4,1,1,8,2
4430,34.149872,-118.378891,Saturday,10,0,0,0,3,6,1,0,0
4431,34.162891,-118.370163,Saturday,11,0,1,0,1,0,2,4,3
4432,34.161709,-118.372818,Saturday,12,1,0,1,2,3,5,0,0
4435,34.168751,-118.36187,Saturday,6,0,0,0,0,1,2,2,1
