end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
3000,0,0,Sunday,241,3,1,16,58,95,41,20,7
3005,34.0485,-118.258537,Sunday,456,22,3,16,72,84,109,103,47
3006,34.04554,-118.256668,Sunday,333,16,1,9,44,75,76,78,34
3007,34.05048,-118.254593,Sunday,96,1,1,1,16,34,22,13,8
3008,34.046612,-118.262733,Sunday,147,3,3,5,19,25,39,43,10
3010,34.037048,-118.254868,Sunday,31,1,0,0,6,9,12,3,0
3011,34.04113,-118.267982,Sunday,130,0,1,6,14,43,30,26,10
3013,33.779819,-118.263023,Sunday,9,0,0,0,0,2,0,5,2
3014,34.05661,-118.237213,Sunday,149,5,4,9,19,38,38,24,12
3016,34.052898,-118.241562,Sunday,38,0,0,2,14,4,12,5,1
3018,34.043732,-118.260139,Sunday,146,14,2,5,15,27,36,32,15
3019,34.038609,-118.260857,Sunday,72,3,2,6,7,12,22,16,4
3020,34.031052,-118.26709,Sunday,11,0,0,1,1,3,3,1,2
3022,34.04607,-118.233093,Sunday,99,1,0,8,16,23,24,21,6
3023,34.050911,-118.240967,Sunday,87,2,1,2,9,12,34,19,8
3024,34.05772,-118.24897,Sunday,29,1,0,1,7,8,5,7,0
3025,34.03286,-118.268082,Sunday,19,2,0,0,1,3,7,1,5
3026,34.063179,-118.24588,Sunday,79,7,3,2,5,12,19,18,13
3027,34.04998,-118.247162,Sunday,85,7,1,3,18,13,21,17,5
3028,34.058319,-118.246094,Sunday,29,0,0,3,6,6,6,7,1
3029,34.048851,-118.246422,Sunday,70,2,2,1,12,12,10,15,16
3030,34.051941,-118.24353,Sunday,67,6,2,0,11,12,22,11,3
3031,34.044701,-118.252441,Sunday,314,39,2,2,31,57,71,78,34
3032,34.049889,-118.255882,Sunday,81,1,1,4,21,19,20,14,1
3033,34.040989,-118.255798,Sunday,77,15,0,0,7,9,16,17,13
3034,34.042061,-118.263382,Sunday,103,2,0,1,16,30,25,26,3
3035,34.048401,-118.260948,Sunday,208,6,3,4,25,38,54,61,17
3036,34.039188,-118.232529,Sunday,54,1,0,1,3,33,8,8,0
3037,34.034801,-118.231277,Sunday,61,9,0,1,5,23,18,5,0
3038,34.046822,-118.248352,Sunday,214,16,3,20,21,44,37,41,32
3040,34.05357,-118.266357,Sunday,81,7,3,0,7,12,12,25,15
3042,34.049301,-118.238808,Sunday,175,18,4,2,10,48,32,43,18
3045,34.028511,-118.256668,Sunday,20,2,0,1,1,5,5,2,4
3046,34.052872,-118.24749,Sunday,47,2,1,1,2,2,20,12,7
3047,34.039982,-118.266403,Sunday,140,8,5,8,15,20,27,34,23
3048,34.041691,-118.235352,Sunday,91,4,3,3,13,22,17,25,4
3049,34.056969,-118.253593,Sunday,132,15,1,6,12,22,30,31,15
3051,34.045422,-118.253517,Sunday,98,6,1,3,12,12,30,28,6
3052,34.051102,-118.264557,Sunday,83,7,1,4,9,20,17,17,8
3054,34.039219,-118.236488,Sunday,29,2,0,0,4,14,5,3,1
3056,34.03746,-118.265381,Sunday,32,0,1,6,3,5,9,8,0
3057,34.035679,-118.270813,Sunday,39,1,1,1,8,9,7,8,4
3058,34.035801,-118.23317,Sunday,44,1,1,0,7,8,11,12,4
3062,34.047749,-118.243172,Sunday,104,6,5,3,15,26,31,15,3
3063,34.048038,-118.253738,Sunday,141,4,0,8,19,22,31,49,8
3064,34.04681,-118.256981,Sunday,206,9,3,26,32,39,43,39,15
3065,34.060558,-118.238327,Sunday,43,2,2,1,7,6,7,13,5
3066,34.063389,-118.23616,Sunday,112,5,1,7,11,24,35,23,6
3067,34.045181,-118.250237,Sunday,175,11,1,4,24,22,59,32,22
3068,34.0532,-118.250954,Sunday,70,0,2,1,19,11,14,14,9
3069,34.05088,-118.248253,Sunday,129,5,1,5,24,24,31,23,16
3074,34.04417,-118.261169,Sunday,201,8,0,10,19,47,40,45,32
3075,34.04211,-118.256187,Sunday,117,2,2,3,7,33,19,36,15
3076,34.0406,-118.253838,Sunday,86,11,1,2,7,15,21,21,8
3077,34.039871,-118.250038,Sunday,28,4,1,1,2,8,4,5,3
3078,34.064281,-118.238937,Sunday,61,8,0,3,2,8,10,17,13
3079,34.05014,-118.233192,Sunday,13,1,2,0,4,0,5,1,0
3081,34.031891,-118.250183,Sunday,14,0,1,0,1,4,6,2,0
3082,34.04652,-118.237411,Sunday,177,9,0,2,18,55,55,25,13
4125,33.766659,-118.261017,Sunday,3,0,0,0,2,0,0,1,0
4126,33.710979,-118.284668,Sunday,167,6,3,2,12,66,28,49,1
4127,33.74892,-118.275192,Sunday,5,0,0,2,0,0,1,2,0
4129,33.725819,-118.28051,Sunday,88,2,0,11,13,18,19,24,1
4130,33.719261,-118.282722,Sunday,60,0,1,0,12,10,13,24,0
4131,33.738979,-118.279266,Sunday,61,0,2,2,6,15,17,19,0
4132,33.74913,-118.280182,Sunday,71,5,1,0,2,8,1,46,8
4133,33.733521,-118.277786,Sunday,61,2,2,0,11,12,12,15,7
4134,33.74136,-118.278069,Sunday,13,0,0,0,2,2,4,5,0
4135,33.772301,-118.268044,Sunday,11,0,0,0,0,0,2,7,2
4136,33.771759,-118.276543,Sunday,13,0,0,0,1,2,2,7,1
4220,34.074829,-118.258728,Sunday,102,8,0,5,7,20,31,27,4
4227,34.0298,-118.270309,Sunday,68,14,3,2,4,3,15,11,16
4245,34.02404,-118.283409,Sunday,32,0,2,0,8,8,10,3,1
4246,34.023708,-118.279167,Sunday,48,2,3,2,2,11,7,11,10
4247,34.033642,-118.291313,Sunday,33,3,2,1,5,1,8,8,5
4248,34.028351,-118.288673,Sunday,60,2,2,0,2,13,13,18,10
4249,34.020302,-118.281181,Sunday,92,4,2,0,7,21,24,19,15
4250,34.03017,-118.280952,Sunday,39,5,1,1,1,9,6,5,11
4254,34.028679,-118.284111,Sunday,42,4,0,1,3,11,11,10,2
4266,34.026291,-118.277687,Sunday,158,15,5,0,11,33,29,35,30
4267,34.027618,-118.280678,Sunday,16,0,0,0,2,5,7,1,1
4273,34.02586,-118.284103,Sunday,103,0,0,1,16,23,24,22,17
4275,34.01252,-118.285896,Sunday,66,10,1,0,7,12,14,13,9
4285,0,0,Sunday,286,6,1,9,53,80,69,56,12
4286,0,0,Sunday,145,3,2,1,38,30,45,22,4
4293,34.062279,-118.271523,Sunday,31,3,2,0,0,7,8,9,2
4300,34.04887,-118.2743,Sunday,35,6,1,0,2,4,5,13,4
4301,34.099049,-118.291496,Sunday,50,1,0,0,5,14,24,4,2
4302,34.092491,-118.291443,Sunday,40,0,0,0,10,8,12,7,3
4303,34.098011,-118.287071,Sunday,36,0,0,0,3,12,19,1,1
4304,34.06258,-118.290092,Sunday,91,7,1,3,9,11,14,24,22
4306,34.057652,-118.292183,Sunday,37,2,0,0,2,9,7,10,7
4311,34.059689,-118.294662,Sunday,98,8,0,0,13,18,19,24,16
4312,34.06699,-118.290878,Sunday,41,5,1,0,3,5,10,7,10
