end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
3000,0,0,Thursday,173,2,1,32,36,50,19,19,14
3005,34.0485,-118.258537,Thursday,714,5,6,110,75,150,142,174,52
3006,34.04554,-118.256668,Thursday,290,5,0,14,33,83,60,60,35
3007,34.05048,-118.254593,Thursday,249,0,6,30,55,59,46,35,18
3008,34.046612,-118.262733,Thursday,148,6,3,22,21,26,23,33,14
3010,34.037048,-118.254868,Thursday,27,0,0,4,3,9,5,6,0
3011,34.04113,-118.267982,Thursday,94,1,2,9,13,13,20,25,11
3013,33.779819,-118.263023,Thursday,9,0,0,0,1,5,0,3,0
3014,34.05661,-118.237213,Thursday,676,3,9,38,27,68,448,70,13
3016,34.052898,-118.241562,Thursday,201,0,15,82,29,29,24,20,2
3018,34.043732,-118.260139,Thursday,139,2,1,3,14,22,26,49,22
3019,34.038609,-118.260857,Thursday,217,0,0,60,27,50,34,34,12
3020,34.031052,-118.26709,Thursday,29,0,0,12,1,8,4,4,0
3022,34.04607,-118.233093,Thursday,148,1,1,29,11,39,26,29,12
3023,34.050911,-118.240967,Thursday,160,3,1,25,22,25,30,46,8
3024,34.05772,-118.24897,Thursday,47,1,1,23,5,9,4,2,2
3025,34.03286,-118.268082,Thursday,36,2,0,3,3,8,8,7,5
3026,34.063179,-118.24588,Thursday,119,3,1,8,2,15,28,34,28
3027,34.04998,-118.247162,Thursday,185,2,5,63,19,39,19,26,12
3028,34.058319,-118.246094,Thursday,46,1,2,1,4,5,14,15,4
3029,34.048851,-118.246422,Thursday,133,0,0,16,19,25,26,28,19
3030,34.051941,-118.24353,Thursday,671,9,8,380,90,92,65,26,1
3031,34.044701,-118.252441,Thursday,392,18,1,24,38,65,100,90,56
3032,34.049889,-118.255882,Thursday,239,1,0,33,56,60,62,21,6
3033,34.040989,-118.255798,Thursday,140,0,0,7,18,14,27,48,26
3034,34.042061,-118.263382,Thursday,163,3,0,3,28,25,29,61,14
3035,34.048401,-118.260948,Thursday,281,0,2,24,61,57,37,64,36
3036,34.039188,-118.232529,Thursday,55,0,4,18,9,10,7,5,2
3037,34.034801,-118.231277,Thursday,66,1,0,9,20,17,10,7,2
3038,34.046822,-118.248352,Thursday,192,10,4,14,14,28,34,56,32
3040,34.05357,-118.266357,Thursday,60,1,0,2,5,11,14,16,11
3042,34.049301,-118.238808,Thursday,300,3,1,13,20,29,181,38,15
3045,34.028511,-118.256668,Thursday,27,3,0,9,2,6,3,3,1
3046,34.052872,-118.24749,Thursday,85,0,0,13,9,11,14,24,14
3047,34.039982,-118.266403,Thursday,135,2,0,9,18,22,21,38,25
3048,34.041691,-118.235352,Thursday,99,1,2,16,24,18,12,18,8
3049,34.056969,-118.253593,Thursday,155,5,1,24,16,30,21,38,20
3051,34.045422,-118.253517,Thursday,134,4,1,6,14,35,20,34,20
3052,34.051102,-118.264557,Thursday,84,3,0,4,9,16,10,30,12
3054,34.039219,-118.236488,Thursday,49,0,0,7,15,4,12,10,1
3056,34.03746,-118.265381,Thursday,45,2,1,12,9,7,6,6,2
3057,34.035679,-118.270813,Thursday,36,0,0,0,5,10,9,6,6
3058,34.035801,-118.23317,Thursday,47,1,1,13,5,8,5,9,5
3062,34.047749,-118.243172,Thursday,126,1,1,13,14,33,16,43,5
3063,34.048038,-118.253738,Thursday,210,3,1,22,24,35,35,75,15
3064,34.04681,-118.256981,Thursday,254,5,1,21,58,54,40,53,22
3065,34.060558,-118.238327,Thursday,82,1,0,6,8,16,25,23,3
3066,34.063389,-118.23616,Thursday,103,1,1,11,13,6,34,27,10
3067,34.045181,-118.250237,Thursday,208,8,0,6,33,32,40,57,32
3068,34.0532,-118.250954,Thursday,98,4,1,6,18,27,17,13,12
3069,34.05088,-118.248253,Thursday,157,1,1,22,37,35,28,21,12
3074,34.04417,-118.261169,Thursday,250,4,0,5,23,58,50,77,33
3075,34.04211,-118.256187,Thursday,157,2,0,5,27,31,36,36,20
3076,34.0406,-118.253838,Thursday,127,2,0,21,21,36,17,21,9
3077,34.039871,-118.250038,Thursday,55,3,0,4,11,20,3,10,4
3078,34.064281,-118.238937,Thursday,62,0,1,7,3,9,16,11,15
3079,34.05014,-118.233192,Thursday,23,0,0,6,1,4,8,4,0
3081,34.031891,-118.250183,Thursday,30,0,0,13,6,6,4,1,0
3082,34.04652,-118.237411,Thursday,177,2,1,14,10,34,45,49,22
4125,33.766659,-118.261017,Thursday,1,0,0,0,0,1,0,0,0
4126,33.710979,-118.284668,Thursday,132,0,0,13,34,22,30,29,4
4127,33.74892,-118.275192,Thursday,7,0,0,0,1,0,2,4,0
4129,33.725819,-118.28051,Thursday,59,0,0,8,8,8,23,10,2
4130,33.719261,-118.282722,Thursday,32,0,0,9,5,0,9,9,0
4131,33.738979,-118.279266,Thursday,32,0,0,2,5,6,5,7,7
4132,33.74913,-118.280182,Thursday,22,0,0,0,1,0,7,8,6
4133,33.733521,-118.277786,Thursday,33,0,0,3,17,2,8,3,0
4134,33.74136,-118.278069,Thursday,13,0,0,0,3,4,1,2,3
4135,33.772301,-118.268044,Thursday,12,0,0,1,0,5,2,4,0
4136,33.771759,-118.276543,Thursday,11,0,0,0,1,0,0,3,7
