end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
3000,0,0,Tuesday,197,1,1,42,63,48,15,22,5
3005,34.0485,-118.258537,Tuesday,762,8,5,117,97,121,168,173,73
3006,34.04554,-118.256668,Tuesday,332,18,2,9,41,80,61,93,28
3007,34.05048,-118.254593,Tuesday,277,0,10,58,54,61,44,32,18
3008,34.046612,-118.262733,Tuesday,178,2,1,26,28,26,20,53,22
3010,34.037048,-118.254868,Tuesday,31,0,0,5,12,6,5,2,1
3011,34.04113,-118.267982,Tuesday,104,2,0,11,15,19,22,24,11
3013,33.779819,-118.263023,Tuesday,2,0,0,0,0,0,2,0,0
3014,34.05661,-118.237213,Tuesday,684,3,5,36,21,59,496,61,3
3016,34.052898,-118.241562,Tuesday,210,1,19,84,24,39,29,13,1
3018,34.043732,-118.260139,Tuesday,154,4,0,11,23,19,25,49,23
3019,34.038609,-118.260857,Tuesday,203,1,0,67,31,37,27,34,6
3020,34.031052,-118.26709,Tuesday,47,0,0,19,3,5,10,7,3
3022,34.04607,-118.233093,Tuesday,138,0,5,25,18,18,34,25,13
3023,34.050911,-118.240967,Tuesday,123,0,0,36,15,15,20,29,8
3024,34.05772,-118.24897,Tuesday,57,0,0,24,11,8,7,6,1
3025,34.03286,-118.268082,Tuesday,25,1,0,2,7,6,3,3,3
3026,34.063179,-118.24588,Tuesday,129,4,2,1,10,9,35,46,22
3027,34.04998,-118.247162,Tuesday,185,1,7,61,17,48,15,26,10
3028,34.058319,-118.246094,Tuesday,34,1,1,6,2,8,1,10,5
3029,34.048851,-118.246422,Tuesday,127,1,0,18,13,14,34,36,11
3030,34.051941,-118.24353,Tuesday,728,6,14,406,106,109,63,16,8
3031,34.044701,-118.252441,Tuesday,431,13,3,29,59,88,109,88,42
3032,34.049889,-118.255882,Tuesday,253,2,0,52,61,58,52,21,7
3033,34.040989,-118.255798,Tuesday,135,16,0,19,14,16,13,38,19
3034,34.042061,-118.263382,Tuesday,183,0,0,10,23,32,41,62,15
3035,34.048401,-118.260948,Tuesday,288,1,0,28,73,48,33,71,34
3036,34.039188,-118.232529,Tuesday,72,0,7,31,4,4,9,14,3
3037,34.034801,-118.231277,Tuesday,70,1,0,10,25,10,6,11,7
3038,34.046822,-118.248352,Tuesday,190,4,1,13,20,32,39,43,38
3040,34.05357,-118.266357,Tuesday,94,8,1,3,9,11,25,17,20
3042,34.049301,-118.238808,Tuesday,341,8,0,28,21,21,199,52,12
3045,34.028511,-118.256668,Tuesday,25,1,0,8,3,1,8,2,2
3046,34.052872,-118.24749,Tuesday,67,1,0,14,10,17,7,15,3
3047,34.039982,-118.266403,Tuesday,132,4,1,15,14,19,19,42,18
3048,34.041691,-118.235352,Tuesday,100,4,0,21,23,15,14,7,16
3049,34.056969,-118.253593,Tuesday,192,11,0,23,18,43,20,55,22
3051,34.045422,-118.253517,Tuesday,104,3,1,7,10,15,19,35,14
3052,34.051102,-118.264557,Tuesday,95,2,0,3,9,10,17,35,19
3054,34.039219,-118.236488,Tuesday,60,1,0,5,11,6,19,14,4
3056,34.03746,-118.265381,Tuesday,54,0,1,15,5,15,5,9,4
3057,34.035679,-118.270813,Tuesday,40,4,0,2,4,6,5,8,11
3058,34.035801,-118.23317,Tuesday,44,0,0,8,8,4,6,14,4
3062,34.047749,-118.243172,Tuesday,107,1,2,16,22,29,11,18,8
3063,34.048038,-118.253738,Tuesday,228,4,3,25,31,42,50,61,12
3064,34.04681,-118.256981,Tuesday,241,1,0,21,39,49,38,66,27
3065,34.060558,-118.238327,Tuesday,78,0,0,11,4,12,29,20,2
3066,34.063389,-118.23616,Tuesday,91,6,1,13,10,5,28,21,7
3067,34.045181,-118.250237,Tuesday,199,5,2,15,24,26,42,54,31
3068,34.0532,-118.250954,Tuesday,78,1,1,7,30,15,6,16,2
3069,34.05088,-118.248253,Tuesday,207,6,2,43,35,39,32,37,13
3074,34.04417,-118.261169,Tuesday,248,6,0,16,17,39,47,94,29
3075,34.04211,-118.256187,Tuesday,149,6,0,6,22,34,39,34,8
3076,34.0406,-118.253838,Tuesday,146,3,1,23,18,43,32,21,5
3077,34.039871,-118.250038,Tuesday,56,0,1,5,8,10,14,11,7
3078,34.064281,-118.238937,Tuesday,60,2,0,11,1,6,11,9,20
3079,34.05014,-118.233192,Tuesday,19,0,0,5,1,2,11,0,0
3081,34.031891,-118.250183,Tuesday,35,0,0,13,10,7,2,2,1
3082,34.04652,-118.237411,Tuesday,217,6,3,24,24,32,44,63,21
4125,33.766659,-118.261017,Tuesday,1,0,0,0,0,0,1,0,0
4126,33.710979,-118.284668,Tuesday,91,0,2,0,13,17,28,29,2
4127,33.74892,-118.275192,Tuesday,6,0,0,1,1,0,4,0,0
4129,33.725819,-118.28051,Tuesday,49,0,1,4,9,3,11,21,0
4130,33.719261,-118.282722,Tuesday,20,0,0,1,1,1,5,12,0
4131,33.738979,-118.279266,Tuesday,24,1,0,3,1,3,7,5,4
4132,33.74913,-118.280182,Tuesday,13,0,0,0,0,0,4,7,2
4133,33.733521,-118.277786,Tuesday,15,0,0,0,3,2,6,4,0
4134,33.74136,-118.278069,Tuesday,3,0,0,0,0,1,0,0,2
4135,33.772301,-118.268044,Tuesday,36,0,0,2,10,8,1,14,1
4136,33.771759,-118.276543,Tuesday,7,0,1,0,0,1,3,1,1
4220,34.074829,-118.258728,Tuesday,145,1,1,6,15,22,52,41,7
4227,34.0298,-118.270309,Tuesday,105,3,0,37,25,10,8,18,4
4245,34.02404,-118.283409,Tuesday,50,0,0,5,19,6,15,5,0
4246,34.023708,-118.279167,Tuesday,71,0,0,4,6,10,9,30,12
4247,34.033642,-118.291313,Tuesday,36,3,1,2,1,0,5,17,7
4248,34.028351,-118.288673,Tuesday,55,1,0,5,6,0,16,20,7
4249,34.020302,-118.281181,Tuesday,135,1,2,8,34,30,25,23,12
4250,34.03017,-118.280952,Tuesday,60,2,0,4,6,16,12,14,6
4254,34.028679,-118.284111,Tuesday,31,0,3,3,2,1,12,7,3
4266,34.026291,-118.277687,Tuesday,121,3,1,5,6,15,26,46,19
4267,34.027618,-118.280678,Tuesday,9,0,0,1,0,1,3,1,3
4273,34.02586,-118.284103,Tuesday,93,0,1,6,14,23,16,28,5
4275,34.01252,-118.285896,Tuesday,18,0,1,0,0,6,6,4,1
4285,0,0,Tuesday,243,7,1,19,38,58,55,43,22
4286,0,0,Tuesday,157,0,0,1,20,46,52,34,4
4293,34.062279,-118.271523,Tuesday,33,3,0,2,7,1,4,12,4
4300,34.04887,-118.2743,Tuesday,57,0,0,3,5,10,11,18,10
4301,34.099049,-118.291496,Tuesday,29,0,0,6,7,2,3,10,1
4302,34.092491,-118.291443,Tuesday,17,0,0,1,1,3,9,2,1
4303,34.098011,-118.287071,Tuesday,17,1,0,1,3,5,2,2,3
4304,34.06258,-118.290092,Tuesday,74,1,1,5,7,24,14,13,9
4306,34.057652,-118.292183,Tuesday,28,2,1,0,3,5,6,7,4
4311,34.059689,-118.294662,Tuesday,54,2,0,1,4,9,6,21,11
4312,34.06699,-118.290878,Tuesday,51,4,1,5,7,6,8,8,12
4313,34.056808,-118.275002,Tuesday,32,0,1,4,4,2,6,9,6
4314,34.057709,-118.279762,Tuesday,66,4,3,3,5,12,12,21,6
4315,34.054031,-118.27092,Tuesday,73,6,1,2,13,10,16,15,10
4322,34.005871,-118.429161,Tuesday,19,0,0,0,3,5,3,8,0
4323,33.99958,-118.44136,Tuesday,6,0,0,1,1,0,2,1,1
4324,34.02655,-118.408463,Tuesday,13,0,0,0,0,1,3,5,4
4325,34.022518,-118.400589,Tuesday,12,1,0,0,5,1,2,3,0
