end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
3000,0,0,Wednesday,163,0,1,24,47,35,26,20,10
3005,34.0485,-118.258537,Wednesday,743,6,8,136,83,148,137,147,78
3006,34.04554,-118.256668,Wednesday,314,1,4,9,27,74,65,97,37
3007,34.05048,-118.254593,Wednesday,227,0,7,43,45,45,38,40,9
3008,34.046612,-118.262733,Wednesday,153,1,0,35,23,23,24,31,16
3010,34.037048,-118.254868,Wednesday,27,0,0,6,5,6,5,3,2
3011,34.04113,-118.267982,Wednesday,109,3,1,12,24,17,30,19,3
3013,33.779819,-118.263023,Wednesday,4,0,0,0,0,0,1,3,0
3014,34.05661,-118.237213,Wednesday,698,6,4,53,28,71,472,55,9
3016,34.052898,-118.241562,Wednesday,210,1,22,87,25,38,21,15,1
3018,34.043732,-118.260139,Wednesday,188,3,1,9,25,33,39,56,22
3019,34.038609,-118.260857,Wednesday,186,0,0,62,23,37,30,28,6
3020,34.031052,-118.26709,Wednesday,30,0,0,12,3,3,6,4,2
3022,34.04607,-118.233093,Wednesday,131,2,1,15,16,27,26,32,12
3023,34.050911,-118.240967,Wednesday,104,0,0,23,19,10,22,24,6
3024,34.05772,-118.24897,Wednesday,57,0,1,27,8,8,7,3,3
3025,34.03286,-118.268082,Wednesday,24,1,0,3,4,5,5,4,2
3026,34.063179,-118.24588,Wednesday,117,5,1,6,3,26,21,34,21
3027,34.04998,-118.247162,Wednesday,176,5,7,62,17,44,10,24,7
3028,34.058319,-118.246094,Wednesday,35,0,2,5,5,7,9,6,1
3029,34.048851,-118.246422,Wednesday,136,0,0,10,15,15,38,40,18
3030,34.051941,-118.24353,Wednesday,728,8,13,392,92,129,72,19,3
3031,34.044701,-118.252441,Wednesday,391,26,9,31,27,70,101,85,42
3032,34.049889,-118.255882,Wednesday,251,0,2,44,58,62,51,30,4
3033,34.040989,-118.255798,Wednesday,99,10,0,9,14,18,15,22,11
3034,34.042061,-118.263382,Wednesday,177,0,0,13,26,31,27,69,11
3035,34.048401,-118.260948,Wednesday,305,4,2,37,61,49,45,69,38
3036,34.039188,-118.232529,Wednesday,72,0,6,25,7,16,4,9,5
3037,34.034801,-118.231277,Wednesday,73,2,0,14,21,15,6,12,3
3038,34.046822,-118.248352,Wednesday,199,9,2,16,14,27,21,72,38
3040,34.05357,-118.266357,Wednesday,68,7,0,2,4,8,20,14,13
3042,34.049301,-118.238808,Wednesday,297,0,0,18,21,34,164,42,18
3045,34.028511,-118.256668,Wednesday,20,0,0,10,2,2,5,1,0
3046,34.052872,-118.24749,Wednesday,74,1,0,17,13,7,10,18,8
3047,34.039982,-118.266403,Wednesday,119,9,2,11,13,13,18,39,14
3048,34.041691,-118.235352,Wednesday,105,0,0,17,22,19,18,11,18
3049,34.056969,-118.253593,Wednesday,176,3,2,21,19,17,28,60,26
3051,34.045422,-118.253517,Wednesday,112,2,1,7,14,20,29,30,9
3052,34.051102,-118.264557,Wednesday,117,7,1,15,13,19,14,23,25
3054,34.039219,-118.236488,Wednesday,42,1,0,1,14,6,13,7,0
3056,34.03746,-118.265381,Wednesday,43,0,2,12,6,6,3,10,4
