start_station,start_lat,start_lon,day,start_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
3000,0,0,Monday,29,2,2,1,3,8,7,2,4
3005,34.0485,-118.258537,Monday,749,14,5,54,108,139,135,213,81
3006,34.04554,-118.256668,Monday,374,4,4,16,31,74,77,100,68
3007,34.05048,-118.254593,Monday,252,1,4,7,35,53,77,61,14
3008,34.046612,-118.262733,Monday,175,2,0,9,21,39,40,50,14
3010,34.037048,-118.254868,Monday,41,0,0,0,3,10,20,5,3
3011,34.04113,-118.267982,Monday,124,7,1,7,16,25,28,26,14
3013,33.779819,-118.263023,Monday,5,0,0,0,0,1,3,1,0
3014,34.05661,-118.237213,Monday,534,5,6,384,54,24,22,25,14
3016,34.052898,-118.241562,Monday,171,1,1,28,14,23,86,15,3
3018,34.043732,-118.260139,Monday,157,4,2,26,23,35,18,37,12
3019,34.038609,-118.260857,Monday,210,4,2,40,26,43,56,29,10
3020,34.031052,-118.26709,Monday,39,1,0,0,12,10,13,1,2
3022,34.04607,-118.233093,Monday,184,0,0,43,21,37,29,52,2
3023,34.050911,-118.240967,Monday,98,1,0,19,11,18,21,25,3
3024,34.05772,-118.24897,Monday,92,2,0,1,13,7,52,9,8
3025,34.03286,-118.268082,Monday,26,0,1,1,6,7,4,6,1
3026,34.063179,-118.24588,Monday,121,4,1,32,13,20,17,23,11
3027,34.04998,-118.247162,Monday,237,0,0,43,61,38,69,23,3
3028,34.058319,-118.246094,Monday,50,0,0,1,1,3,19,21,5
3029,34.048851,-118.246422,Monday,137,3,2,26,28,22,20,24,12
3030,34.051941,-118.24353,Monday,713,5,2,31,104,101,402,48,20
3031,34.044701,-118.252441,Monday,364,6,6,61,43,74,66,72,36
3032,34.049889,-118.255882,Monday,243,4,0,6,27,70,73,50,13
3033,34.040989,-118.255798,Monday,145,6,1,22,7,13,33,39,24
3034,34.042061,-118.263382,Monday,167,0,1,39,29,33,33,23,9
3035,34.048401,-118.260948,Monday,335,7,2,18,51,70,57,92,38
3036,34.039188,-118.232529,Monday,57,0,0,9,3,11,24,9,1
3037,34.034801,-118.231277,Monday,59,1,0,0,6,9,13,26,4
3038,34.046822,-118.248352,Monday,193,11,2,36,24,25,21,48,26
3040,34.05357,-118.266357,Monday,104,4,0,17,21,18,21,17,6
3042,34.049301,-118.238808,Monday,276,4,15,106,54,19,27,33,18
3045,34.028511,-118.256668,Monday,20,4,0,2,6,3,2,2,1
3046,34.052872,-118.24749,Monday,75,3,1,11,10,11,19,15,5
3047,34.039982,-118.266403,Monday,111,1,0,24,16,17,17,30,6
3048,34.041691,-118.235352,Monday,92,2,1,7,16,13,30,23,0
3049,34.056969,-118.253593,Monday,178,4,5,34,22,24,36,35,18
3051,34.045422,-118.253517,Monday,124,4,0,16,16,20,17,40,11
3052,34.051102,-118.264557,Monday,126,3,4,9,21,20,20,32,17
