start_station,station_name,go_live_date,region ,status,start_count,start_lat,start_lon,monday_count,tuesday_count,wednesday_count,thursday_count,friday_count,saturday_count,sunday_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,start_count_q2_2019,start_count_q1_2019,start_count_q4_2018,start_count_q3_2018,start_count_q2_2018,start_count_q1_2018,start_count_q4_2017,start_count_q3_2017,start_count_q2_2017,start_count_q1_2017,start_count_q4_2016,start_count_q3_2016
3000,Virtual Station,7/7/2016,N/A,Active,0,0,0,29,28,20,16,19,8,24,7,2,9,27,48,35,10,6,81,202,48,559,87,54,435,59,64,29,19,#N/A
3005,7th & Flower,7/7/2016,DTLA,Active,4512,34.0485,-118.258537,749,708,687,672,714,512,470,133,39,298,655,849,838,1149,551,2738,2955,3562,3757,2884,2159,2593,2751,2411,1250,1729,1904
3006,Olive & 8th,7/7/2016,DTLA,Active,2269,34.04554,-118.256668,374,345,297,268,333,334,318,51,17,97,286,473,453,569,323,1309,1472,1481,1595,1282,1077,1158,1176,973,592,799,1317
3007,5th & Grand,7/7/2016,DTLA,Active,1525,34.05048,-118.254593,252,282,246,256,221,156,112,11,24,31,220,321,501,348,69,1232,1009,1479,1729,1403,1029,1082,1230,1191,831,856,1098
3008,Figueroa & 9th,7/7/2016,DTLA,Active,1092,34.046612,-118.262733,175,188,159,163,148,109,150,40,9,40,131,220,223,310,119,776,876,1334,1620,1048,728,854,960,888,562,673,921
3010,11th & Maple,7/10/2016,DTLA,Active,207,34.037048,-118.254868,41,38,22,27,37,22,20,1,2,5,18,47,101,19,14,194,197,172,223,161,119,83,146,173,49,155,223
3011,Figueroa & Pico,7/12/2016,DTLA,Active,802,34.04113,-118.267982,124,116,119,106,114,111,112,31,9,27,93,144,216,211,71,451,643,738,837,692,526,587,568,620,374,426,457
3013,Anaheim & Avalon,7/31/2017,Port of LA,Inactive,28,33.779819,-118.263023,5,4,4,3,3,2,7,1,1,2,1,5,10,8,0,55,24,12,24,25,26,19,82,#N/A,#N/A,#N/A,#N/A
3014,Union Station West Portal,7/7/2016,DTLA,Active,3231,34.05661,-118.237213,534,648,656,632,514,132,115,68,86,2068,344,207,175,192,91,2733,2308,2783,2520,2231,1642,1683,1890,2008,1051,1465,2055
3016,Los Angeles & Temple,7/7/2016,DTLA,Active,1008,34.052898,-118.241562,171,187,196,179,179,44,52,3,8,106,127,167,473,105,19,812,619,560,610,559,330,352,505,497,330,679,944
