start_station,start_lat,start_lon,day,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,start_count
3000,0,0,Friday,1,0,1,2,9,6,0,0,19
3005,34.0485,-118.258537,Friday,18,8,56,116,134,116,167,99,714
3006,34.04554,-118.256668,Friday,0,2,18,45,65,79,85,39,333
3007,34.05048,-118.254593,Friday,3,4,4,37,40,85,41,7,221
3008,34.046612,-118.262733,Friday,3,2,6,12,29,39,39,18,148
3010,34.037048,-118.254868,Friday,0,0,0,4,10,14,3,6,37
3011,34.04113,-118.267982,Friday,0,0,3,19,13,30,34,15,114
3013,33.779819,-118.263023,Friday,1,0,1,0,0,0,1,0,3
3014,34.05661,-118.237213,Friday,11,14,335,50,30,35,27,12,514
3016,34.052898,-118.241562,Friday,0,1,17,29,34,72,22,4,179
3018,34.043732,-118.260139,Friday,4,0,18,40,19,22,30,18,151
3019,34.038609,-118.260857,Friday,7,1,33,18,33,58,21,8,179
3020,34.031052,-118.26709,Friday,0,0,1,12,6,10,3,1,33
3022,34.04607,-118.233093,Friday,1,0,28,29,25,32,24,12,151
3023,34.050911,-118.240967,Friday,1,2,16,11,17,31,14,20,112
3024,34.05772,-118.24897,Friday,3,1,2,11,26,23,8,5,79
3025,34.03286,-118.268082,Friday,0,0,3,6,5,14,13,1,42
3026,34.063179,-118.24588,Friday,3,2,32,18,17,17,17,18,124
3027,34.04998,-118.247162,Friday,2,1,40,55,39,57,34,9,237
3028,34.058319,-118.246094,Friday,1,2,2,7,9,20,11,8,60
3029,34.048851,-118.246422,Friday,4,0,28,20,28,24,27,18,149
3030,34.051941,-118.24353,Friday,16,2,37,94,129,270,42,13,603
3031,34.044701,-118.252441,Friday,12,5,44,57,77,58,88,45,386
3032,34.049889,-118.255882,Friday,0,0,1,36,64,59,35,5,200
3033,34.040989,-118.255798,Friday,11,3,14,12,24,29,11,8,112
3034,34.042061,-118.263382,Friday,2,1,36,33,31,19,25,11,158
3035,34.048401,-118.260948,Friday,4,0,15,50,49,51,76,38,283
3036,34.039188,-118.232529,Friday,0,0,4,5,4,21,14,4,52
3037,34.034801,-118.231277,Friday,5,0,0,4,14,26,11,9,69
3038,34.046822,-118.248352,Friday,7,4,31,24,35,35,37,54,227
3040,34.05357,-118.266357,Friday,3,0,9,23,21,15,21,10,102
3042,34.049301,-118.238808,Friday,2,15,110,38,38,30,41,20,294
3045,34.028511,-118.256668,Friday,0,1,1,1,3,3,5,0,14
3046,34.052872,-118.24749,Friday,11,1,14,11,20,27,14,13,111
3047,34.039982,-118.266403,Friday,1,2,16,26,17,18,32,4,116
3048,34.041691,-118.235352,Friday,1,0,4,3,14,29,15,3,69
3049,34.056969,-118.253593,Friday,4,0,20,17,44,47,36,20,188
3051,34.045422,-118.253517,Friday,5,0,12,12,26,22,30,20,127
3052,34.051102,-118.264557,Friday,6,4,8,22,13,18,19,16,106
3054,34.039219,-118.236488,Friday,0,0,1,5,11,6,9,6,38
3056,34.03746,-118.265381,Friday,1,0,6,8,10,5,5,7,42
3057,34.035679,-118.270813,Friday,0,0,3,10,5,16,8,4,46
3058,34.035801,-118.23317,Friday,2,0,1,4,10,5,19,6,47
3062,34.047749,-118.243172,Friday,1,1,7,19,24,28,11,14,105
3063,34.048038,-118.253738,Friday,8,0,15,24,24,43,70,12,196
3064,34.04681,-118.256981,Friday,1,2,9,36,57,43,56,25,229
3065,34.060558,-118.238327,Friday,1,5,4,12,16,13,12,15,78
3066,34.063389,-118.23616,Friday,2,1,40,14,12,13,17,15,114
3067,34.045181,-118.250237,Friday,5,0,53,39,48,42,44,19,250
3068,34.0532,-118.250954,Friday,2,1,10,22,30,50,45,9,169
3069,34.05088,-118.248253,Friday,2,0,21,30,65,45,38,13,214
3074,34.04417,-118.261169,Friday,8,2,14,40,36,52,36,31,219
3075,34.04211,-118.256187,Friday,8,1,13,14,38,28,30,15,147
3076,34.0406,-118.253838,Friday,2,2,11,22,32,31,22,13,135
3077,34.039871,-118.250038,Friday,0,0,9,11,16,10,11,4,61
3078,34.064281,-118.238937,Friday,5,2,9,10,15,15,11,7,74
3079,34.05014,-118.233192,Friday,0,0,0,4,2,4,0,2,12
3081,34.031891,-118.250183,Friday,2,0,0,4,10,16,1,4,37
3082,34.04652,-118.237411,Friday,10,0,26,23,25,26,33,24,167
4125,33.766659,-118.261017,Friday,0,0,0,0,1,2,0,0,3
4126,33.710979,-118.284668,Friday,1,0,0,7,25,19,7,2,61
4127,33.74892,-118.275192,Friday,0,0,0,2,0,1,2,0,5
4129,33.725819,-118.28051,Friday,0,0,4,5,11,5,30,4,59
4130,33.719261,-118.282722,Friday,0,0,2,14,5,5,5,0,31
4131,33.738979,-118.279266,Friday,0,0,4,4,3,7,22,1,41
4132,33.74913,-118.280182,Friday,0,0,2,0,1,3,16,5,27
4133,33.733521,-118.277786,Friday,0,0,5,9,2,8,21,8,53
4134,33.74136,-118.278069,Friday,0,0,0,2,4,11,3,0,20
4135,33.772301,-118.268044,Friday,0,0,0,3,1,0,14,0,18
4136,33.771759,-118.276543,Friday,0,0,0,0,0,4,1,1,6
4220,34.074829,-118.258728,Friday,2,0,42,26,13,17,19,20,139
4227,34.0298,-118.270309,Friday,2,0,9,12,11,33,25,3,95
4245,34.02404,-118.283409,Friday,1,0,2,6,8,9,14,5,45
4246,34.023708,-118.279167,Friday,3,0,0,3,6,7,4,12,35
4247,34.033642,-118.291313,Friday,0,0,1,0,5,7,10,0,23
4248,34.028351,-118.288673,Friday,0,0,6,19,10,8,18,4,65
4249,34.020302,-118.281181,Friday,1,1,5,10,10,29,21,32,109
4250,34.03017,-118.280952,Friday,1,0,11,4,7,5,17,0,45
4254,34.028679,-118.284111,Friday,0,0,3,5,6,9,9,4,36
4266,34.026291,-118.277687,Friday,5,1,5,7,9,24,32,22,105
4267,34.027618,-118.280678,Friday,0,0,0,1,3,1,0,0,5
4273,34.02586,-118.284103,Friday,2,0,1,5,8,18,32,18,84
4275,34.01252,-118.285896,Friday,0,0,0,4,4,4,9,14,35
4285,0,0,Friday,3,0,7,40,70,73,47,8,248
4286,0,0,Friday,0,0,1,12,30,27,15,9,94
4293,34.062279,-118.271523,Friday,0,0,14,5,1,6,9,4,39
4300,34.04887,-118.2743,Friday,1,0,7,9,12,4,9,3,45
4301,34.099049,-118.291496,Friday,2,0,0,2,3,7,11,2,27
4302,34.092491,-118.291443,Friday,0,0,0,3,0,3,2,1,9
4303,34.098011,-118.287071,Friday,0,0,1,2,0,11,4,2,20
4304,34.06258,-118.290092,Friday,2,0,4,9,11,20,24,9,79
4306,34.057652,-118.292183,Friday,2,1,7,3,4,8,2,4,31
4311,34.059689,-118.294662,Friday,4,0,3,9,19,18,27,12,92
4312,34.06699,-118.290878,Friday,3,1,0,3,3,9,10,8,37
4313,34.056808,-118.275002,Friday,0,0,1,5,4,8,2,7,27
4314,34.057709,-118.279762,Friday,0,1,24,19,18,7,13,5,87
4315,34.054031,-118.27092,Friday,0,0,16,10,20,15,21,18,100
4322,34.005871,-118.429161,Friday,0,0,0,3,10,4,6,2,25
4323,33.99958,-118.44136,Friday,0,0,0,7,3,1,3,0,14
4324,34.02655,-118.408463,Friday,0,0,8,11,2,2,6,0,29
4325,34.022518,-118.400589,Friday,0,1,4,7,3,2,4,2,23
4328,34.020061,-118.422684,Friday,0,0,1,2,1,3,2,0,9
4329,34.029121,-118.403168,Friday,0,0,0,5,5,9,3,2,24
4330,34.025688,-118.395302,Friday,0,2,5,4,5,6,1,2,25
4331,34.00351,-118.43438,Friday,0,0,3,13,3,4,2,3,28
4332,34.02948,-118.410469,Friday,0,0,5,0,3,3,3,0,14
4333,33.997231,-118.445969,Friday,0,1,0,4,0,0,0,0,5
4334,34.02018,-118.40403,Friday,0,0,6,3,3,1,4,1,18
4335,34.023392,-118.399223,Friday,0,0,0,3,5,5,2,0,15
4336,34.022449,-118.438332,Friday,1,1,2,1,2,2,3,1,13
4337,33.993019,-118.414909,Friday,0,0,0,1,3,2,1,0,7
4338,34.01376,-118.417801,Friday,0,0,0,3,2,8,1,0,14
4340,34.02338,-118.479637,Friday,0,0,1,5,4,2,8,0,20
4341,33.9953,-118.464844,Friday,0,0,0,3,5,4,1,0,13
4342,33.991161,-118.468292,Friday,0,0,0,15,15,17,8,3,58
4343,33.998322,-118.460983,Friday,0,0,2,7,2,2,4,1,18
4344,34.014309,-118.491341,Friday,7,0,8,29,37,40,30,5,156
4345,33.99556,-118.481552,Friday,3,1,8,61,133,134,67,15,422
4346,33.984341,-118.47155,Friday,0,0,12,53,92,69,37,9,272
4347,33.984928,-118.469963,Friday,2,0,2,25,29,29,20,5,112
4348,34.000881,-118.46891,Friday,0,0,1,8,6,2,7,1,25
4349,33.996239,-118.477448,Friday,0,1,2,8,27,26,12,2,78
4350,33.9986,-118.472977,Friday,0,0,0,0,7,8,3,2,20
4351,33.993729,-118.45356,Friday,0,9,2,6,8,7,6,0,38
4352,33.988419,-118.45163,Friday,0,0,0,6,8,7,8,0,29
4353,33.988129,-118.471741,Friday,0,0,7,6,18,7,13,1,52
4354,34.017681,-118.409081,Friday,2,0,1,5,2,6,4,1,21
4372,34.027882,-118.388901,Friday,0,0,4,5,2,2,6,0,19
4378,34.022331,-118.415771,Friday,0,0,7,0,1,2,0,0,10
4379,34.017368,-118.420601,Friday,1,0,0,0,0,1,0,0,2
4380,33.982922,-118.410927,Friday,1,0,0,1,0,7,4,0,13
4381,34.000332,-118.402321,Friday,0,0,0,0,2,2,0,0,4
4382,34.030472,-118.420982,Friday,0,0,0,1,1,2,2,0,6
4383,34.009022,-118.425011,Friday,0,0,1,7,1,3,1,0,13
4384,33.990318,-118.412048,Friday,0,0,0,1,0,1,0,0,2
4385,34.036678,-118.425339,Friday,0,0,1,3,1,3,3,0,11
4387,34.03352,-118.241837,Friday,0,0,0,6,10,22,16,1,55
4389,34.035351,-118.434143,Friday,3,0,1,1,1,7,6,4,23
4390,34.069271,-118.296593,Friday,2,1,5,13,6,6,10,14,57
4393,34.026829,-118.393517,Friday,0,0,1,7,4,3,1,0,16
4394,33.980789,-118.414902,Friday,0,0,2,0,0,2,3,0,7
4396,34.02697,-118.428207,Friday,0,0,4,0,2,1,4,3,14
4397,34.01688,-118.428452,Friday,0,0,1,1,2,1,3,1,9
4400,34.027828,-118.247139,Friday,1,1,0,1,1,12,5,4,25
4401,34.075611,-118.291862,Friday,1,0,0,12,7,19,6,5,50
4404,34.04813,-118.271027,Friday,0,0,4,6,2,8,9,2,31
4405,34.051899,-118.293678,Friday,0,2,4,6,3,9,5,5,34
4406,34.101891,-118.300613,Friday,0,0,3,5,3,5,2,0,18
4408,34.011799,-118.419533,Friday,0,0,2,1,1,3,0,0,7
4409,33.986511,-118.441917,Friday,0,0,1,5,2,6,7,2,23
4410,34.063351,-118.296799,Friday,9,1,7,13,14,30,32,24,130
4413,34.158321,-118.370811,Friday,0,0,0,3,3,1,3,0,10
4414,34.16835,-118.387497,Friday,0,0,4,1,1,8,1,1,16
4415,34.168331,-118.396156,Friday,0,0,0,4,2,3,3,0,12
4416,34.157581,-118.38826,Friday,0,1,0,5,5,2,1,0,14
4417,34.164951,-118.363632,Friday,0,0,0,5,2,4,3,2,16
4418,34.150688,-118.366127,Friday,0,1,2,0,3,1,1,0,8
4419,34.165218,-118.355148,Friday,0,0,0,0,1,0,2,0,3
4420,34.168629,-118.377068,Friday,5,0,6,3,3,10,22,5,54
4422,34.152142,-118.361954,Friday,0,2,3,3,3,1,1,0,13
4425,34.152,-118.350601,Friday,0,0,0,2,0,1,2,2,7
4426,34.149872,-118.378891,Friday,0,0,0,4,6,7,0,1,18
4427,34.162891,-118.370163,Friday,1,0,4,3,1,6,0,2,17
4428,34.161709,-118.372818,Friday,0,0,0,4,0,5,4,0,13
4429,34.168751,-118.36187,Friday,1,0,0,4,0,4,1,0,10
4430,34.172451,-118.370369,Friday,0,0,0,2,0,2,0,0,4
4431,34.177662,-118.382278,Friday,0,0,2,3,2,2,1,0,10
4432,34.139568,-118.362251,Friday,0,1,0,0,0,2,4,3,10
4435,33.738991,-118.28363,Friday,0,0,0,0,0,3,1,0,4
4436,34.105782,-118.291939,Friday,0,0,2,0,1,0,1,0,4
4437,34.105358,-118.28727,Friday,0,0,5,0,3,0,1,0,9
4438,34.094929,-118.284561,Friday,1,0,0,1,1,0,2,0,5
