start_station,start_lat,start_lon,day,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,start_count
3000,0,0,Saturday,0,0,0,4,1,2,1,0,8
3005,34.0485,-118.258537,Saturday,39,0,5,68,104,96,127,73,512
3006,34.04554,-118.256668,Saturday,8,4,4,49,62,64,85,58,334
3007,34.05048,-118.254593,Saturday,4,6,3,19,50,47,21,6,156
3008,34.046612,-118.262733,Saturday,9,4,2,13,26,10,31,14,109
3010,34.037048,-118.254868,Saturday,0,0,4,2,3,8,5,0,22
3011,34.04113,-118.267982,Saturday,12,6,4,16,19,18,23,13,111
3013,33.779819,-118.263023,Saturday,0,0,0,0,0,2,0,0,2
3014,34.05661,-118.237213,Saturday,10,3,6,31,29,16,15,22,132
3016,34.052898,-118.241562,Saturday,1,1,2,7,8,17,7,1,44
3018,34.043732,-118.260139,Saturday,13,0,5,25,19,26,19,22,129
3019,34.038609,-118.260857,Saturday,7,0,2,5,16,19,11,7,67
3020,34.031052,-118.26709,Saturday,0,0,1,6,13,4,2,2,28
3022,34.04607,-118.233093,Saturday,1,0,3,22,28,31,23,6,114
3023,34.050911,-118.240967,Saturday,1,1,0,1,26,18,14,12,73
3024,34.05772,-118.24897,Saturday,0,0,2,2,3,8,6,5,26
3025,34.03286,-118.268082,Saturday,1,2,2,7,8,7,2,3,32
3026,34.063179,-118.24588,Saturday,13,0,10,16,15,15,19,10,98
3027,34.04998,-118.247162,Saturday,7,1,9,17,26,19,12,8,99
3028,34.058319,-118.246094,Saturday,5,1,4,2,11,12,12,7,54
3029,34.048851,-118.246422,Saturday,4,0,16,20,23,13,14,12,102
3030,34.051941,-118.24353,Saturday,15,0,2,20,18,14,21,13,103
3031,34.044701,-118.252441,Saturday,8,2,12,47,60,57,51,48,285
3032,34.049889,-118.255882,Saturday,3,1,2,22,26,38,20,3,115
3033,34.040989,-118.255798,Saturday,6,0,2,12,10,9,14,15,68
3034,34.042061,-118.263382,Saturday,2,0,5,17,34,13,16,5,92
3035,34.048401,-118.260948,Saturday,13,2,13,28,53,47,44,44,244
3036,34.039188,-118.232529,Saturday,0,1,3,21,6,8,15,4,58
3037,34.034801,-118.231277,Saturday,21,2,0,8,4,11,9,19,74
3038,34.046822,-118.248352,Saturday,14,4,11,21,46,36,38,48,218
3040,34.05357,-118.266357,Saturday,7,2,1,17,15,25,16,10,93
3042,34.049301,-118.238808,Saturday,10,0,5,18,20,21,12,45,131
3045,34.028511,-118.256668,Saturday,4,0,0,1,2,7,6,1,21
3046,34.052872,-118.24749,Saturday,6,0,3,7,4,9,9,9,47
3047,34.039982,-118.266403,Saturday,6,0,6,14,20,17,19,8,90
3048,34.041691,-118.235352,Saturday,5,0,5,1,21,22,12,13,79
3049,34.056969,-118.253593,Saturday,5,1,3,20,38,26,48,22,163
3051,34.045422,-118.253517,Saturday,4,2,4,8,19,18,32,17,104
3052,34.051102,-118.264557,Saturday,3,5,9,17,28,21,17,15,115
3054,34.039219,-118.236488,Saturday,1,0,2,2,11,8,3,2,29
3056,34.03746,-118.265381,Saturday,2,0,6,8,5,8,9,4,42
3057,34.035679,-118.270813,Saturday,3,0,5,4,13,12,9,4,50
3058,34.035801,-118.23317,Saturday,7,0,3,6,1,9,9,6,41
3062,34.047749,-118.243172,Saturday,6,5,1,9,32,17,16,12,98
3063,34.048038,-118.253738,Saturday,7,1,3,5,9,6,15,16,62
3064,34.04681,-118.256981,Saturday,10,2,14,21,45,42,55,35,224
3065,34.060558,-118.238327,Saturday,0,1,0,4,10,6,6,3,30
3066,34.063389,-118.23616,Saturday,4,1,18,15,14,17,17,17,103
3067,34.045181,-118.250237,Saturday,11,0,22,35,32,35,29,15,179
3068,34.0532,-118.250954,Saturday,5,0,11,8,40,33,39,5,141
3069,34.05088,-118.248253,Saturday,1,1,5,28,38,41,26,26,166
3074,34.04417,-118.261169,Saturday,12,3,3,31,44,27,40,18,178
3075,34.04211,-118.256187,Saturday,7,2,4,17,10,32,32,16,120
3076,34.0406,-118.253838,Saturday,4,0,2,19,15,21,19,8,88
3077,34.039871,-118.250038,Saturday,0,0,2,10,10,9,3,4,38
3078,34.064281,-118.238937,Saturday,3,1,8,12,8,18,3,29,82
3079,34.05014,-118.233192,Saturday,1,0,0,3,5,14,2,2,27
3081,34.031891,-118.250183,Saturday,1,0,3,1,3,0,4,7,19
3082,34.04652,-118.237411,Saturday,25,0,16,22,26,26,36,26,177
4126,33.710979,-118.284668,Saturday,0,1,3,17,31,49,25,10,136
4127,33.74892,-118.275192,Saturday,0,0,0,0,0,0,3,4,7
4129,33.725819,-118.28051,Saturday,0,0,6,10,15,37,20,3,91
4130,33.719261,-118.282722,Saturday,0,0,3,9,2,9,1,2,26
4131,33.738979,-118.279266,Saturday,0,0,1,8,20,18,18,4,69
4132,33.74913,-118.280182,Saturday,0,0,0,4,3,4,18,19,48
4133,33.733521,-118.277786,Saturday,0,0,0,1,8,6,10,6,31
4134,33.74136,-118.278069,Saturday,0,0,0,1,7,11,4,0,23
4135,33.772301,-118.268044,Saturday,0,0,0,0,0,3,11,0,14
4136,33.771759,-118.276543,Saturday,0,0,0,0,0,2,13,0,15
4220,34.074829,-118.258728,Saturday,6,0,2,14,16,10,20,6,74
4227,34.0298,-118.270309,Saturday,2,3,0,3,17,9,12,7,53
4245,34.02404,-118.283409,Saturday,2,0,1,8,10,19,9,8,57
4246,34.023708,-118.279167,Saturday,0,0,0,5,6,12,14,14,51
4247,34.033642,-118.291313,Saturday,3,0,2,4,3,11,3,2,28
4248,34.028351,-118.288673,Saturday,0,0,11,5,18,3,17,11,65
4249,34.020302,-118.281181,Saturday,1,0,3,8,12,28,9,25,86
4250,34.03017,-118.280952,Saturday,1,0,4,4,9,6,14,6,44
4254,34.028679,-118.284111,Saturday,0,0,7,2,10,6,9,6,40
4266,34.026291,-118.277687,Saturday,17,2,3,7,27,22,43,27,148
4267,34.027618,-118.280678,Saturday,0,0,0,1,6,4,3,0,14
4273,34.02586,-118.284103,Saturday,0,0,1,9,14,28,22,15,89
4275,34.01252,-118.285896,Saturday,1,0,5,3,1,10,8,23,51
4285,0,0,Saturday,3,1,8,42,53,74,54,4,239
4286,0,0,Saturday,0,0,0,5,27,28,35,8,103
4293,34.062279,-118.271523,Saturday,1,0,4,8,12,4,2,8,39
4300,34.04887,-118.2743,Saturday,3,1,4,10,4,5,3,5,35
4301,34.099049,-118.291496,Saturday,1,0,0,2,6,3,5,0,17
4302,34.092491,-118.291443,Saturday,4,2,8,5,6,2,5,2,34
4303,34.098011,-118.287071,Saturday,2,0,0,1,6,7,6,1,23
4304,34.06258,-118.290092,Saturday,1,1,3,9,9,11,14,9,57
4306,34.057652,-118.292183,Saturday,2,0,2,0,8,5,6,7,30
4311,34.059689,-118.294662,Saturday,8,4,2,3,23,21,25,19,105
4312,34.06699,-118.290878,Saturday,8,1,1,5,2,5,7,7,36
4313,34.056808,-118.275002,Saturday,1,1,1,5,5,6,9,6,34
4314,34.057709,-118.279762,Saturday,1,0,4,20,12,7,10,5,59
4315,34.054031,-118.27092,Saturday,2,0,2,15,27,18,13,10,87
4322,34.005871,-118.429161,Saturday,0,0,0,2,10,4,1,1,18
4323,33.99958,-118.44136,Saturday,0,0,0,3,5,1,5,0,14
4324,34.02655,-118.408463,Saturday,0,0,0,7,7,3,1,1,19
4325,34.022518,-118.400589,Saturday,0,3,2,5,5,1,3,0,19
4328,34.020061,-118.422684,Saturday,0,0,1,0,1,3,1,1,7
4329,34.029121,-118.403168,Saturday,2,2,4,6,4,9,10,1,38
4330,34.025688,-118.395302,Saturday,0,0,0,5,9,4,2,3,23
4331,34.00351,-118.43438,Saturday,1,0,0,4,5,11,0,1,22
4332,34.02948,-118.410469,Saturday,0,0,0,5,3,4,1,0,13
4333,33.997231,-118.445969,Saturday,0,0,0,0,4,5,1,2,12
4334,34.02018,-118.40403,Saturday,0,0,6,2,3,2,5,0,18
4335,34.023392,-118.399223,Saturday,1,0,1,10,3,3,6,3,27
4336,34.022449,-118.438332,Saturday,0,0,0,3,2,1,3,1,10
4337,33.993019,-118.414909,Saturday,0,0,0,2,1,0,0,0,3
4338,34.01376,-118.417801,Saturday,0,0,0,0,2,0,3,0,5
4340,34.02338,-118.479637,Saturday,0,1,5,6,15,12,5,0,44
4341,33.9953,-118.464844,Saturday,0,0,0,3,9,6,0,0,18
4342,33.991161,-118.468292,Saturday,0,0,0,14,20,11,6,1,52
4343,33.998322,-118.460983,Saturday,0,0,0,5,2,5,3,1,16
4344,34.014309,-118.491341,Saturday,8,0,1,45,52,73,34,15,228
4345,33.99556,-118.481552,Saturday,0,0,7,104,166,151,107,15,550
4346,33.984341,-118.47155,Saturday,4,0,8,51,73,100,75,18,329
4347,33.984928,-118.469963,Saturday,2,0,1,17,41,42,20,0,123
4348,34.000881,-118.46891,Saturday,0,0,2,9,9,7,7,1,35
4349,33.996239,-118.477448,Saturday,0,0,0,17,32,27,17,5,98
