start_station,start_lat,start_lon,day,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,start_count
3000,0,0,Sunday,1,0,0,1,19,0,2,1,24
3005,34.0485,-118.258537,Sunday,32,1,8,55,92,114,118,50,470
3006,34.04554,-118.256668,Sunday,18,0,7,43,77,68,61,44,318
3007,34.05048,-118.254593,Sunday,2,0,4,16,28,42,15,5,112
3008,34.046612,-118.262733,Sunday,11,1,4,20,30,22,41,21,150
3010,34.037048,-118.254868,Sunday,1,1,0,1,7,9,0,1,20
3011,34.04113,-118.267982,Sunday,3,1,0,10,39,26,28,5,112
3013,33.779819,-118.263023,Sunday,0,0,0,0,4,0,3,0,7
3014,34.05661,-118.237213,Sunday,4,0,9,30,23,27,16,6,115
3016,34.052898,-118.241562,Sunday,0,1,2,10,11,17,8,3,52
3018,34.043732,-118.260139,Sunday,20,2,8,17,20,29,37,12,145
3019,34.038609,-118.260857,Sunday,4,2,6,12,8,24,15,8,79
3020,34.031052,-118.26709,Sunday,0,0,0,1,5,2,3,1,12
3022,34.04607,-118.233093,Sunday,3,0,6,15,17,25,17,9,92
3023,34.050911,-118.240967,Sunday,2,0,2,10,19,35,23,8,99
3024,34.05772,-118.24897,Sunday,1,0,0,10,5,9,4,0,29
3025,34.03286,-118.268082,Sunday,0,0,0,3,4,8,5,2,22
3026,34.063179,-118.24588,Sunday,6,3,13,14,9,18,22,11,96
3027,34.04998,-118.247162,Sunday,6,2,4,23,19,26,23,2,105
3028,34.058319,-118.246094,Sunday,1,0,2,11,5,3,8,3,33
3029,34.048851,-118.246422,Sunday,6,4,9,22,19,11,18,11,100
3030,34.051941,-118.24353,Sunday,3,0,0,19,21,24,15,8,90
3031,34.044701,-118.252441,Sunday,16,5,6,44,67,58,77,26,299
3032,34.049889,-118.255882,Sunday,1,0,1,21,9,25,17,1,75
3033,34.040989,-118.255798,Sunday,15,0,0,9,7,15,16,14,76
3034,34.042061,-118.263382,Sunday,0,1,0,19,23,18,25,6,92
3035,34.048401,-118.260948,Sunday,13,5,6,25,46,51,76,16,238
3036,34.039188,-118.232529,Sunday,1,0,1,23,8,11,11,0,55
3037,34.034801,-118.231277,Sunday,11,0,3,10,12,12,13,8,69
3038,34.046822,-118.248352,Sunday,15,2,12,32,58,42,35,24,220
3040,34.05357,-118.266357,Sunday,2,0,3,10,13,22,27,13,90
3042,34.049301,-118.238808,Sunday,11,3,4,19,35,40,20,15,147
3045,34.028511,-118.256668,Sunday,1,0,1,2,5,4,2,1,16
3046,34.052872,-118.24749,Sunday,7,0,4,1,3,21,10,6,52
3047,34.039982,-118.266403,Sunday,2,1,5,14,31,19,29,19,120
3048,34.041691,-118.235352,Sunday,4,0,5,6,13,18,24,2,72
3049,34.056969,-118.253593,Sunday,3,0,6,14,27,34,29,15,128
3051,34.045422,-118.253517,Sunday,7,0,3,8,17,27,29,8,99
3052,34.051102,-118.264557,Sunday,6,3,5,17,19,33,17,9,109
3054,34.039219,-118.236488,Sunday,1,0,1,1,6,6,6,2,23
3056,34.03746,-118.265381,Sunday,2,1,3,4,5,9,15,2,41
3057,34.035679,-118.270813,Sunday,0,0,2,11,12,7,7,1,40
3058,34.035801,-118.23317,Sunday,1,0,2,5,7,9,8,2,34
3062,34.047749,-118.243172,Sunday,6,0,2,13,24,33,14,6,98
3063,34.048038,-118.253738,Sunday,3,0,7,17,30,27,44,2,130
3064,34.04681,-118.256981,Sunday,6,1,14,38,42,42,46,19,208
3065,34.060558,-118.238327,Sunday,1,0,1,5,8,16,13,3,47
3066,34.063389,-118.23616,Sunday,7,0,6,12,21,19,17,5,87
3067,34.045181,-118.250237,Sunday,4,2,13,24,37,51,20,14,165
3068,34.0532,-118.250954,Sunday,0,0,6,10,24,31,25,5,101
3069,34.05088,-118.248253,Sunday,9,2,6,21,21,36,29,11,135
3074,34.04417,-118.261169,Sunday,16,0,7,35,46,52,43,21,220
3075,34.04211,-118.256187,Sunday,1,1,6,15,27,18,34,11,113
3076,34.0406,-118.253838,Sunday,9,1,6,7,13,18,20,7,81
3077,34.039871,-118.250038,Sunday,3,0,0,5,7,7,8,1,31
3078,34.064281,-118.238937,Sunday,18,1,6,10,15,8,12,5,75
3079,34.05014,-118.233192,Sunday,1,0,0,4,1,1,0,0,7
3081,34.031891,-118.250183,Sunday,0,2,0,0,4,5,2,0,13
3082,34.04652,-118.237411,Sunday,9,2,8,17,32,43,25,9,145
4125,33.766659,-118.261017,Sunday,0,0,0,2,0,0,0,0,2
4126,33.710979,-118.284668,Sunday,0,0,10,13,71,31,35,0,160
4127,33.74892,-118.275192,Sunday,0,0,2,0,2,1,2,0,7
4129,33.725819,-118.28051,Sunday,2,0,16,8,15,31,12,1,85
4130,33.719261,-118.282722,Sunday,0,0,0,17,11,22,12,0,62
4131,33.738979,-118.279266,Sunday,0,0,1,10,10,22,20,1,64
4132,33.74913,-118.280182,Sunday,0,1,0,3,6,6,44,1,61
4133,33.733521,-118.277786,Sunday,0,0,2,10,9,9,18,3,51
4134,33.74136,-118.278069,Sunday,0,0,0,2,9,10,8,0,29
4135,33.772301,-118.268044,Sunday,0,0,0,0,0,0,8,3,11
4136,33.771759,-118.276543,Sunday,0,0,1,0,3,9,4,0,17
4220,34.074829,-118.258728,Sunday,10,1,2,17,24,28,18,3,103
4227,34.0298,-118.270309,Sunday,0,2,2,7,14,13,10,5,53
4245,34.02404,-118.283409,Sunday,0,2,0,3,8,7,6,3,29
4246,34.023708,-118.279167,Sunday,2,2,0,4,10,15,14,11,58
4247,34.033642,-118.291313,Sunday,2,1,0,8,6,6,7,2,32
4248,34.028351,-118.288673,Sunday,0,1,1,7,17,9,12,11,58
4249,34.020302,-118.281181,Sunday,3,1,0,6,22,32,16,20,100
4250,34.03017,-118.280952,Sunday,2,1,3,5,11,7,7,6,42
4254,34.028679,-118.284111,Sunday,4,0,2,3,10,16,6,0,41
4266,34.026291,-118.277687,Sunday,12,3,3,11,34,29,32,24,148
4267,34.027618,-118.280678,Sunday,0,0,0,1,7,4,1,1,14
4273,34.02586,-118.284103,Sunday,0,0,0,10,24,33,23,8,98
4275,34.01252,-118.285896,Sunday,3,0,0,8,4,15,2,18,50
4285,0,0,Sunday,1,0,5,35,59,46,39,7,192
4286,0,0,Sunday,1,3,2,21,30,33,19,4,113
4293,34.062279,-118.271523,Sunday,3,0,0,6,6,9,7,1,32
4300,34.04887,-118.2743,Sunday,2,1,2,6,3,6,5,9,34
4301,34.099049,-118.291496,Sunday,2,0,8,14,12,13,5,0,54
4302,34.092491,-118.291443,Sunday,0,0,4,18,14,6,5,3,50
4303,34.098011,-118.287071,Sunday,1,0,0,16,16,5,5,2,45
4304,34.06258,-118.290092,Sunday,5,1,1,12,16,11,30,17,93
4306,34.057652,-118.292183,Sunday,0,0,0,7,13,13,7,5,45
