start_station,start_lat,start_lon,day,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,start_count
3005,34.0485,-118.258537,Thursday,9,5,54,93,131,131,166,83,672
3006,34.04554,-118.256668,Thursday,4,2,16,41,68,47,56,34,268
3007,34.05048,-118.254593,Thursday,1,1,2,41,45,83,70,13,256
3008,34.046612,-118.262733,Thursday,4,1,6,19,31,39,48,15,163
3010,34.037048,-118.254868,Thursday,0,1,0,0,6,19,0,1,27
3011,34.04113,-118.267982,Thursday,3,0,2,14,10,32,35,10,106
3013,33.779819,-118.263023,Thursday,0,0,0,0,0,0,3,0,3
3014,34.05661,-118.237213,Thursday,11,20,434,54,35,32,29,17,632
3016,34.052898,-118.241562,Thursday,0,2,11,21,26,91,23,5,179
3018,34.043732,-118.260139,Thursday,10,1,15,23,21,29,36,19,154
3019,34.038609,-118.260857,Thursday,0,0,28,34,40,72,31,13,218
3020,34.031052,-118.26709,Thursday,0,1,0,7,13,10,3,0,34
3022,34.04607,-118.233093,Thursday,0,0,39,18,37,20,22,6,142
3023,34.050911,-118.240967,Thursday,1,1,15,20,14,27,20,7,105
3024,34.05772,-118.24897,Thursday,0,0,2,7,8,40,9,1,67
3025,34.03286,-118.268082,Thursday,1,0,2,4,7,6,10,3,33
3026,34.063179,-118.24588,Thursday,1,0,29,19,14,18,32,7,120
3027,34.04998,-118.247162,Thursday,4,0,36,56,33,58,28,10,225
3028,34.058319,-118.246094,Thursday,2,1,2,3,12,18,23,10,71
3029,34.048851,-118.246422,Thursday,0,0,26,33,23,25,29,13,149
3030,34.051941,-118.24353,Thursday,8,4,36,85,149,432,42,10,766
3031,34.044701,-118.252441,Thursday,6,3,66,45,64,62,76,35,357
3032,34.049889,-118.255882,Thursday,3,0,5,35,58,66,72,11,250
3033,34.040989,-118.255798,Thursday,0,1,9,20,16,35,32,26,139
3034,34.042061,-118.263382,Thursday,3,0,33,30,24,27,33,6,156
3035,34.048401,-118.260948,Thursday,4,0,15,47,59,54,76,38,293
3036,34.039188,-118.232529,Thursday,0,0,3,8,15,27,9,2,64
3037,34.034801,-118.231277,Thursday,2,1,3,4,5,14,14,13,56
3038,34.046822,-118.248352,Thursday,13,4,38,22,28,32,56,39,232
3040,34.05357,-118.266357,Thursday,0,1,14,26,12,15,19,13,100
3042,34.049301,-118.238808,Thursday,3,7,131,37,24,31,39,13,285
3045,34.028511,-118.256668,Thursday,4,0,2,3,4,4,1,0,18
