start_station,start_lat,start_lon,day,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,start_count
3000,0,0,Wednesday,0,0,2,7,3,6,2,0,20
3005,34.0485,-118.258537,Wednesday,12,11,68,103,136,101,182,74,687
3006,34.04554,-118.256668,Wednesday,0,1,18,31,56,57,97,37,297
3007,34.05048,-118.254593,Wednesday,0,4,8,28,42,80,73,11,246
3008,34.046612,-118.262733,Wednesday,6,1,10,22,33,34,37,16,159
3010,34.037048,-118.254868,Wednesday,0,0,0,2,3,13,2,2,22
3011,34.04113,-118.267982,Wednesday,2,1,6,13,21,42,29,5,119
3013,33.779819,-118.263023,Wednesday,0,0,1,0,0,3,0,0,4
3014,34.05661,-118.237213,Wednesday,17,21,448,59,41,21,41,8,656
3016,34.052898,-118.241562,Wednesday,1,1,30,22,30,93,18,1,196
3018,34.043732,-118.260139,Wednesday,9,11,31,20,42,37,32,14,196
3019,34.038609,-118.260857,Wednesday,0,0,40,29,32,52,32,8,193
3020,34.031052,-118.26709,Wednesday,0,2,1,8,11,10,5,0,37
3022,34.04607,-118.233093,Wednesday,0,0,25,20,26,39,32,3,145
3023,34.050911,-118.240967,Wednesday,2,1,15,13,16,26,18,7,98
3024,34.05772,-118.24897,Wednesday,2,0,3,19,5,46,5,4,84
3025,34.03286,-118.268082,Wednesday,1,1,2,3,4,7,8,1,27
3026,34.063179,-118.24588,Wednesday,5,1,28,12,33,21,14,10,124
3027,34.04998,-118.247162,Wednesday,2,0,46,55,37,52,13,1,206
3028,34.058319,-118.246094,Wednesday,0,1,3,7,8,15,22,5,61
3029,34.048851,-118.246422,Wednesday,1,0,23,34,22,24,27,11,142
3030,34.051941,-118.24353,Wednesday,11,3,35,106,145,483,52,6,841
3031,34.044701,-118.252441,Wednesday,3,4,72,41,61,67,73,35,356
3032,34.049889,-118.255882,Wednesday,0,0,9,25,58,76,57,6,231
3033,34.040989,-118.255798,Wednesday,5,0,13,11,17,40,16,9,111
3034,34.042061,-118.263382,Wednesday,1,0,42,30,37,22,18,5,155
3035,34.048401,-118.260948,Wednesday,5,1,12,37,57,69,88,37,306
3036,34.039188,-118.232529,Wednesday,0,0,7,8,6,32,13,3,69
3037,34.034801,-118.231277,Wednesday,1,0,1,10,20,15,20,11,78
3038,34.046822,-118.248352,Wednesday,6,5,34,25,38,23,59,41,231
3040,34.05357,-118.266357,Wednesday,6,0,17,21,13,13,16,12,98
3042,34.049301,-118.238808,Wednesday,2,12,141,45,28,29,26,16,299
3045,34.028511,-118.256668,Wednesday,0,0,0,3,4,3,2,0,12
3046,34.052872,-118.24749,Wednesday,0,1,15,18,11,20,15,6,86
3047,34.039982,-118.266403,Wednesday,4,1,19,21,6,31,24,8,114
3048,34.041691,-118.235352,Wednesday,0,0,9,15,15,29,9,6,83
3049,34.056969,-118.253593,Wednesday,2,0,24,31,24,37,46,26,190
3051,34.045422,-118.253517,Wednesday,4,0,10,16,20,15,26,9,100
3052,34.051102,-118.264557,Wednesday,4,6,17,22,16,21,31,17,134
3054,34.039219,-118.236488,Wednesday,0,0,2,3,8,7,12,4,36
3056,34.03746,-118.265381,Wednesday,3,1,9,12,7,8,12,2,54
3057,34.035679,-118.270813,Wednesday,3,0,6,13,11,1,8,10,52
3058,34.035801,-118.23317,Wednesday,2,1,1,3,10,5,18,3,43
3062,34.047749,-118.243172,Wednesday,0,0,15,12,21,27,16,11,102
3063,34.048038,-118.253738,Wednesday,2,0,17,15,37,37,62,12,182
3064,34.04681,-118.256981,Wednesday,2,2,14,37,34,47,67,32,235
3065,34.060558,-118.238327,Wednesday,1,15,4,7,12,6,5,2,52
3066,34.063389,-118.23616,Wednesday,6,1,56,25,15,7,12,10,132
3067,34.045181,-118.250237,Wednesday,3,1,55,27,30,35,40,16,207
3068,34.0532,-118.250954,Wednesday,6,2,9,12,34,58,35,13,169
3069,34.05088,-118.248253,Wednesday,2,0,22,15,37,39,31,8,154
3074,34.04417,-118.261169,Wednesday,10,1,21,39,51,45,68,23,258
3075,34.04211,-118.256187,Wednesday,1,0,17,9,33,10,33,12,115
3076,34.0406,-118.253838,Wednesday,1,0,9,20,29,27,10,3,99
3077,34.039871,-118.250038,Wednesday,3,1,4,11,22,6,14,6,67
3078,34.064281,-118.238937,Wednesday,1,1,11,5,6,16,6,10,56
3079,34.05014,-118.233192,Wednesday,0,0,3,5,8,12,2,0,30
3081,34.031891,-118.250183,Wednesday,0,1,0,5,7,23,6,0,42
3082,34.04652,-118.237411,Wednesday,1,3,31,21,30,21,39,24,170
4126,33.710979,-118.284668,Wednesday,0,0,1,8,8,20,26,4,67
4127,33.74892,-118.275192,Wednesday,0,0,0,0,0,0,4,1,5
4129,33.725819,-118.28051,Wednesday,0,0,5,11,1,9,20,0,46
4130,33.719261,-118.282722,Wednesday,0,0,1,11,0,3,11,0,26
4131,33.738979,-118.279266,Wednesday,0,0,1,7,0,4,2,1,15
4132,33.74913,-118.280182,Wednesday,0,0,0,0,0,0,12,5,17
4133,33.733521,-118.277786,Wednesday,0,0,2,0,10,12,4,0,28
4134,33.74136,-118.278069,Wednesday,0,0,0,0,1,1,0,0,2
4135,33.772301,-118.268044,Wednesday,0,0,0,0,2,0,13,0,15
4136,33.771759,-118.276543,Wednesday,0,0,0,1,1,0,6,3,11
4220,34.074829,-118.258728,Wednesday,4,0,51,30,13,17,13,15,143
4227,34.0298,-118.270309,Wednesday,0,0,12,7,17,33,31,2,102
4245,34.02404,-118.283409,Wednesday,0,0,1,2,8,11,14,4,40
4246,34.023708,-118.279167,Wednesday,0,0,3,3,5,10,26,9,56
4247,34.033642,-118.291313,Wednesday,0,0,5,4,5,3,5,1,23
4248,34.028351,-118.288673,Wednesday,0,0,8,14,11,14,10,1,58
4249,34.020302,-118.281181,Wednesday,1,0,10,7,24,32,35,8,117
4250,34.03017,-118.280952,Wednesday,0,0,16,8,3,7,11,12,57
4254,34.028679,-118.284111,Wednesday,0,0,3,2,7,5,7,4,28
4266,34.026291,-118.277687,Wednesday,4,0,19,12,19,24,26,25,129
4267,34.027618,-118.280678,Wednesday,1,0,0,3,3,3,1,1,12
4273,34.02586,-118.284103,Wednesday,0,0,1,7,10,25,26,8,77
4275,34.01252,-118.285896,Wednesday,0,0,1,1,3,1,1,17,24
4285,0,0,Wednesday,1,1,14,25,50,37,34,14,176
4286,0,0,Wednesday,1,0,4,4,8,21,19,2,59
4293,34.062279,-118.271523,Wednesday,0,0,13,7,4,5,4,1,34
4300,34.04887,-118.2743,Wednesday,3,0,9,10,6,15,8,4,55
4301,34.099049,-118.291496,Wednesday,1,0,3,1,11,7,11,3,37
4302,34.092491,-118.291443,Wednesday,0,0,0,2,5,2,4,6,19
4303,34.098011,-118.287071,Wednesday,0,0,2,1,6,6,7,1,23
4304,34.06258,-118.290092,Wednesday,2,1,6,5,9,14,25,7,69
4306,34.057652,-118.292183,Wednesday,0,0,6,1,2,2,6,0,17
4311,34.059689,-118.294662,Wednesday,3,0,2,3,10,6,26,12,62
4312,34.06699,-118.290878,Wednesday,3,2,3,3,9,5,6,5,36
4313,34.056808,-118.275002,Wednesday,2,0,5,4,6,2,8,6,33
